year,pop_5_17,datatype,log_pop,teacher_fte,teacher_fte_low,teacher_fte_high,teacher_fte_obs_low,teacher_fte_obs_high,schools,schools_low,schools_high,schools_obs_low,schools_obs_high
2039,37940,Forecast,10.543761243489005,1458.84105850112,1364.5640336022016,1559.6316343986884,945.3990587195154,2251.131111608263,51.633964430198844,47.92969297508837,55.624522447175636,34.83245593544273,76.53971593964647
2040,38270,Forecast,10.552421578419748,1470.8305881865917,1373.3659070670815,1575.2121179164,952.9079062313774,2270.2536152743705,51.882102006612584,48.085326948791305,55.97866707844467,34.98947348638746,76.93035191489152
2041,38672,Forecast,10.562871102943264,1484.910404246024,1384.0540472044247,1593.1161887006988,961.7567399084243,2292.636814635726,52.17124293308875,48.280308025662016,56.375750290090245,35.174119086948274,77.38185517752822
2042,39150,Forecast,10.575155701418948,1501.1901922556078,1396.6984488654557,1613.49931701794,972.0125042388055,2318.459879370819,52.503086405387506,48.515415869325444,56.81851907682954,35.38743749489173,77.89696788555275
2043,39582,Forecast,10.586129748450926,1516.1571070291157,1407.9724811991218,1632.6543337247226,981.3931259824739,2342.315543420618,52.80750466253103,48.71904963389086,57.23905884123314,35.5811583124589,78.37385517904245
2044,39992,Forecast,10.596434713093407,1530.5048325179266,1418.5520597210968,1651.292968987883,990.3503100185251,2365.2691564431475,53.098527800638195,48.90609335531387,57.650355224883256,35.7649783684177,78.83280748982278
2045,40354,Forecast,10.605445801374623,1543.4894190987748,1427.7639552084229,1668.594852937088,998.4037756775708,2386.16844698236,53.361688707527534,49.06267828026918,58.03739056912017,35.92903238717913,79.25261640876137
2046,40687,Forecast,10.613663910088935,1555.6584547940872,1436.1378179522842,1685.1260357609592,1005.9098742657112,2405.8549278472083,53.60801353607873,49.20039007222105,58.41049453197286,36.08093055796491,79.64925158090195
2047,40972,Forecast,10.620644185556426,1566.4681241274493,1443.1900192207697,1700.2767142418825,1012.5187508507297,2423.4833990438597,53.827040170510365,49.309439353165054,58.75853166300019,36.2135697644449,80.00730865153218
2048,41193,Forecast,10.626023617989862,1575.4597491563588,1448.5218631204725,1713.5215452425552,1017.9366506939973,2438.3378076814674,54.01005953525896,49.38193353605389,59.07193830052126,36.321070046583905,80.31389293489649
2049,41332,Forecast,10.629392297334245,1582.1146588002775,1451.6838145257948,1724.2644496993125,1021.8319066734681,2449.607197860375,54.147228138554546,49.40896719971878,59.339882641897454,36.396791551122995,80.55441675320446
2050,41372,Forecast,10.630359602497695,1585.9380684875928,1452.2503378263084,1731.9324992155582,1023.8888555090278,2456.5161966019464,54.229155308775226,49.3821057869562,59.55196196351854,36.43440730561626,80.71494784683789
2051,41329,Forecast,10.629319711713425,1587.378686000211,1450.6497038144762,1736.9948693623492,1024.3997616442732,2459.7536890512833,54.26471497748884,49.310444049319585,59.71674659110549,36.44001963413157,80.80838926963652
2052,41202,Forecast,10.626242077848731,1586.3936553717715,1446.8578190875821,1739.386411438035,1023.3393391853797,2459.247615563342,54.25310874552909,49.193553519264775,59.833039046498946,36.41311541684332,80.83350668733769
2053,40997,Forecast,10.621254172277629,1583.138874394543,1441.0266950086032,1739.2659721714992,1020.8098401480221,2455.235634538742,54.197314403370854,49.03452217743491,59.90369148309068,36.355735120553156,80.79464983441487
2054,40722,Forecast,10.614523765931814,1577.82688441517,1433.3557756118917,1736.859556812064,1016.9494484246771,2448.044670302682,54.10134073851166,48.83732371913943,59.93274911084987,36.270605508812295,80.6977173015049
2055,40389,Forecast,10.606312749647344,1570.7870211680172,1424.146935618469,1732.526191055124,1011.9710498334621,2438.184240819876,53.97143173917341,48.60800446361669,59.92666179407935,36.16196581242852,80.5519107861972
2056,40007,Forecast,10.59680971778536,1562.2636043761847,1413.623367285363,1726.533124763903,1006.0324748498576,2426.0325889805085,53.81216261079339,48.35096895640989,59.89019263421772,36.03291432673341,80.3639921709598
2057,39586,Forecast,10.586230799380681,1552.532856984512,1402.0358721675045,1719.1844516004792,999.311861553272,2412.01807438768,53.62874033032673,48.071212838082374,59.82877526108912,35.886980108508084,80.14164972147543
2058,39135,Forecast,10.574772486238938,1541.8452113793578,1389.6114024149601,1710.7564400537071,991.9706228797611,2396.529293329297,53.42589405625902,47.77327415793548,59.74734212845424,35.72737031177226,79.89186247973322
2059,38673,Forecast,10.562896961111214,1530.7519589989781,1376.847761229167,1701.8595853236086,984.3636601008649,2380.4226577595396,53.2143416713511,47.46746534385764,59.656991141232886,35.56139000002549,79.63035639251628
2060,38207,Forecast,10.550774023880454,1519.4564747469233,1363.9292327677024,1692.7183047212843,976.6220388410123,2364.013801480673,52.99803219120058,47.157612756658736,59.56178126813527,35.39173620108765,79.3629168170962
