school_year,level,school,school_raw,matrix_row_sum,attending_neighborhood,oe_from_within_district,oe_from_outside_district,placements_into_school,unmatched_addresses,within_bvsd_total,enrollment_total,pct_from_neighborhood
2018-2019,middle,Horizons,Horizons,110,,110.0,3.0,1.0,,111.0,114.0,
2018-2019,middle,Summit,Summit,354,,354.0,4.0,,,354.0,358.0,
2018-2019,middle,Justice High,Justice High,0,,,3.0,,,,3.0,
2018-2019,middle,Peak to Peak,Peak to Peak,300,,300.0,102.0,2.0,,302.0,404.0,
2019-2020,elementary,Bear Creek,Bear Creek *,393,358.0,35.0,0.0,7.0,0.0,400.0,400.0,0.9
2019-2020,elementary,Columbine,Columbine,433,389.0,44.0,4.0,12.0,1.0,446.0,450.0,0.86
2019-2020,elementary,Creekside,Creekside *,322,274.0,48.0,7.0,7.0,0.0,329.0,336.0,0.82
2019-2020,elementary,Crest View,Crest View,520,478.0,42.0,10.0,6.0,0.0,526.0,536.0,0.89
2019-2020,elementary,Douglass,Douglass,363,280.0,83.0,7.0,11.0,0.0,374.0,381.0,0.73
2019-2020,elementary,Eisenhower,Eisenhower,381,325.0,56.0,8.0,13.0,0.0,394.0,402.0,0.81
2019-2020,elementary,Flatirons,Flatirons,206,150.0,56.0,4.0,1.0,0.0,207.0,211.0,0.71
2019-2020,elementary,Foothill,Foothill,447,414.0,33.0,0.0,9.0,0.0,456.0,456.0,0.91
2019-2020,elementary,Heatherwood,Heatherwood,253,241.0,12.0,6.0,9.0,0.0,262.0,268.0,0.9
2019-2020,elementary,Mesa,Mesa *,254,209.0,45.0,5.0,2.0,0.0,256.0,261.0,0.8
2019-2020,elementary,Whittier,Whittier,369,292.0,77.0,6.0,3.0,0.0,372.0,378.0,0.77
2019-2020,elementary,Aspen Creek K-8,Aspen Creek K-8,345,273.0,72.0,64.0,6.0,0.0,351.0,415.0,0.66
2019-2020,elementary,Birch,Birch,269,238.0,31.0,65.0,11.0,0.0,280.0,345.0,0.69
2019-2020,elementary,Emerald,Emerald,306,276.0,30.0,53.0,15.0,0.0,321.0,374.0,0.74
2019-2020,elementary,Kohl,Kohl,301,240.0,61.0,50.0,5.0,0.0,306.0,356.0,0.67
2019-2020,elementary,Lafayette,Lafayette Elem.,458,391.0,67.0,6.0,8.0,0.0,466.0,472.0,0.83
2019-2020,elementary,Ryan,Ryan,484,447.0,37.0,10.0,4.0,0.0,488.0,498.0,0.9
2019-2020,elementary,Sanchez,Sanchez,290,258.0,32.0,7.0,5.0,0.0,295.0,302.0,0.85
2019-2020,elementary,Meadowlark,Meadowlark,432,415.0,17.0,25.0,5.0,0.0,437.0,462.0,0.9
2019-2020,elementary,Coal Creek,Coal Creek,373,346.0,27.0,8.0,8.0,0.0,381.0,389.0,0.89
2019-2020,elementary,Fireside,Fireside,422,339.0,83.0,8.0,7.0,0.0,429.0,437.0,0.78
2019-2020,elementary,Louisville,Louisville Elem.,499,479.0,20.0,5.0,12.0,0.0,511.0,516.0,0.93
