school_year,level,area,area_raw,placed_out,living_in_area_total,oe_out_of_area,pct_enrolled_in_neighborhood,matrix_col_sum
2022-2023,elementary,Columbine,Columbine,27.0,513,204,0.55,486
2022-2023,elementary,Creekside,Creekside*,8.0,501,206,0.57,493
2022-2023,elementary,Crest View,Crest View,19.0,726,328,0.52,707
2022-2023,elementary,Douglass,Douglass,9.0,302,81,0.7,293
2022-2023,elementary,Eisenhower,Eisenhower,10.0,390,142,0.61,380
2022-2023,elementary,Flatirons,Flatirons,8.0,209,73,0.61,201
2022-2023,elementary,Foothill,Foothill,3.0,475,91,0.8,472
2022-2023,elementary,Heatherwood,Heatherwood,5.0,304,94,0.67,299
2022-2023,elementary,Mesa,Mesa*,1.0,185,37,0.79,184
2022-2023,elementary,Whittier,Whittier,11.0,359,118,0.64,348
2022-2023,elementary,Optional Bear Creek/Creekside,Optional Bear Creek/ Creekside,0.0,29,1,0.97,29
2022-2023,elementary,Optional Bear Creek/Mesa,Optional Bear Creek/Mesa,3.0,176,33,0.8,173
2022-2023,elementary,Aspen Creek K-8,Aspen Creek K-8,3.0,320,82,0.73,317
2022-2023,elementary,Birch,Birch,8.0,301,91,0.67,293
2022-2023,elementary,Emerald,Emerald,8.0,338,64,0.79,330
2022-2023,elementary,Kohl,Kohl,12.0,256,51,0.75,244
2022-2023,elementary,Lafayette,Lafayette,18.0,609,241,0.57,591
2022-2023,elementary,Ryan,Ryan,28.0,658,244,0.59,630
2022-2023,elementary,Sanchez,Sanchez,13.0,583,300,0.46,570
2022-2023,elementary,Meadowlark,Meadowlark,13.0,614,159,0.72,601
2022-2023,elementary,Coal Creek,Coal Creek,7.0,369,82,0.76,362
2022-2023,elementary,Fireside,Fireside,5.0,321,35,0.88,316
2022-2023,elementary,Louisville,Louisville,7.0,521,112,0.77,514
2022-2023,elementary,Monarch K-8,Monarch K-8,4.0,239,67,0.7,235
2022-2023,elementary,Eldorado K-8,Eldorado K-8,3.0,295,57,0.8,292
2022-2023,elementary,Superior,Superior,2.0,415,51,0.87,413
2022-2023,elementary,Gold Hill,Gold Hill,0.0,10,1,0.9,10
2022-2023,elementary,Jamestown,Jamestown,4.0,16,2,0.63,12
2022-2023,elementary,Nederland,Nederland,4.0,195,22,0.87,191
2022-2023,high,Boulder,Boulder*,19.0,2239,456,0.79,2220
2022-2023,high,Fairview,Fairview*,19.0,1334,216,0.82,1315
2022-2023,high,Boulder/Fairview Optional,Boulder/Fairview Optional,3.0,291,28,0.89,288
2022-2023,high,Broomfield,Broomfield,11.0,1024,155,0.84,1013
2022-2023,high,Centaurus,Centaurus,21.0,1822,656,0.63,1801
2022-2023,high,Monarch,Monarch,25.0,1935,665,0.64,1910
2022-2023,high,Nederland,Nederland,1.0,170,47,0.72,169
2022-2023,middle,Manhattan,Manhattan,7.0,457,251,0.44,450
2022-2023,middle,Casey,Casey,9.0,532,165,0.67,523
2022-2023,middle,Centennial,Centennial,17.0,731,220,0.68,714
2022-2023,middle,Platt,Platt,5.0,377,115,0.68,372
2022-2023,middle,Southern Hills,Southern Hills,7.0,425,120,0.7,418
2022-2023,middle,Aspen Creek K-8,Aspen Creek K-8,16.0,366,121,0.63,350
2022-2023,middle,Broomfield Heights,Broomfield Heights,3.0,320,46,0.85,317
2022-2023,middle,Angevine,Angevine,30.0,946,302,0.65,916
2022-2023,middle,Meadowlark,Meadowlark,5.0,262,100,0.6,257
2022-2023,middle,Louisville Middle,Louisville Middle,8.0,550,89,0.82,542
2022-2023,middle,Monarch K-8,Monarch K-8,3.0,323,93,0.7,320
2022-2023,middle,Eldorado K-8,Eldorado K-8,4.0,427,148,0.64,423
2022-2023,middle,Nederland,Nederland,1.0,120,17,0.85,119
2023-2024,elementary,Bear Creek,Bear Creek*,4.0,174,34,0.78,170
2023-2024,elementary,Columbine,Columbine,26.0,520,217,0.53,494
2023-2024,elementary,Creekside,Creekside*,10.0,511,220,0.55,501
2023-2024,elementary,Crest View,Crest View,12.0,689,317,0.52,677
2023-2024,elementary,Douglass,Douglass,10.0,281,84,0.67,271
2023-2024,elementary,Eisenhower,Eisenhower,12.0,396,140,0.62,384
2023-2024,elementary,Flatirons,Flatirons,10.0,205,70,0.61,195
2023-2024,elementary,Foothill,Foothill,7.0,448,81,0.8,441
2023-2024,elementary,Heatherwood,Heatherwood,6.0,292,93,0.66,286
2023-2024,elementary,Mesa,Mesa*,2.0,179,51,0.7,177
2023-2024,elementary,Whittier,Whittier,3.0,329,130,0.6,326
2023-2024,elementary,Optional Bear Creek/Creekside,Optional Bear Creek/ Creekside,0.0,28,4,0.86,28
2023-2024,elementary,Optional Bear Creek/Mesa,Optional Bear Creek/Mesa,1.0,154,37,0.75,153
2023-2024,elementary,Aspen Creek K-8,Aspen Creek K-8,2.0,306,66,0.78,304
2023-2024,elementary,Birch,Birch,9.0,281,84,0.67,272
2023-2024,elementary,Emerald,Emerald,10.0,324,64,0.77,314
2023-2024,elementary,Kohl,Kohl,8.0,249,53,0.76,241
2023-2024,elementary,Lafayette,Lafayette,17.0,614,243,0.58,597
2023-2024,elementary,Ryan,Ryan,25.0,645,236,0.6,620
2023-2024,elementary,Sanchez,Sanchez,28.0,591,312,0.42,563
2023-2024,elementary,Meadowlark,Meadowlark,12.0,614,169,0.71,602
2023-2024,elementary,Coal Creek,Coal Creek,7.0,347,80,0.75,340
