year,candidate_sov,node_id,endorser_type,org_type,office_status_at_endorsement,held_boulder_council,held_any_elected_office,served_board_commission,page_section
2015,Bob Yates,e01663,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01673,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01674,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01681,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01690,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01699,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01701,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01706,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01707,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01709,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01710,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01712,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01722,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01727,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01728,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01729,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01742,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01746,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01755,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01757,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01758,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01759,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01761,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01768,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01771,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01772,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01773,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01775,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01777,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01779,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01783,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01789,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01804,person,,,True,True,False,Bob's Backers
2015,Bob Yates,e01809,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01823,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01833,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01839,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01841,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01851,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01855,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01856,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01859,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01861,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01864,person,,former,True,True,False,Bob's Backers
2015,Bob Yates,e01866,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01875,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01877,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01884,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01886,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01893,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01905,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01906,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01909,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01910,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01920,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01932,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01935,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01941,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01946,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01947,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01956,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01960,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01968,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01970,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01976,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01983,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01991,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e01998,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e02004,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e02010,person,,,False,False,True,Bob's Backers
2015,Bob Yates,e02013,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e02014,person,,,False,False,False,Bob's Backers
2015,Bob Yates,e02018,person,,,False,False,False,Bob's Backers
2015,Jyotsna Raj,e00337,person,,,False,False,False,Building community
2015,Jyotsna Raj,e00691,person,,,False,False,False,Building community
2015,Jyotsna Raj,e01059,person,,,False,False,False,Building community
2015,Jyotsna Raj,e01544,person,,,False,False,False,Building community
2015,Lisa Morzel,org:lisa-speaks-to-supporters-at-a-fundraising-party,organization,party,,False,False,False,Look who is endorsing Lisa for re-election this fall in 2015!!
2015,Michael Kruteck,e00033,person,,current,True,True,False,Endorsements
2015,Michael Kruteck,e00224,person,,former,True,True,False,Endorsements
2015,Michael Kruteck,e00317,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e00385,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e00489,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e00557,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e00597,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e00616,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e00690,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e00884,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01012,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01062,person,,former,True,True,False,Endorsements
2015,Michael Kruteck,e01132,person,,former,True,True,False,Endorsements
2015,Michael Kruteck,e01177,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01235,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01252,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01367,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01443,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01461,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01480,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01495,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01629,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01642,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01748,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01804,person,,,True,True,False,Endorsements
2015,Michael Kruteck,e01868,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01900,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01979,person,,,False,False,False,Endorsements
2015,Michael Kruteck,e01994,person,,,False,False,False,Endorsements
2015,Michael Kruteck,org:boulder-weekly,organization,newspaper,,False,False,False,Endorsements
2015,Suzanne Jones,e00130,person,,current,True,True,False,Endorsers
2015,Suzanne Jones,e00135,person,,current,False,True,False,Endorsers
2015,Suzanne Jones,e00185,person,,current,True,True,False,Endorsers
2015,Suzanne Jones,e00441,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e00530,person,,former,True,True,False,Endorsers
2015,Suzanne Jones,e00552,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e00676,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e00726,person,,,True,True,False,Endorsers
2015,Suzanne Jones,e00804,person,,,False,True,False,Endorsers
2015,Suzanne Jones,e00880,person,,former,False,True,False,Endorsers
2015,Suzanne Jones,e00962,person,,current,True,True,False,Endorsers
2015,Suzanne Jones,e00967,person,,current,False,True,False,Endorsers
2015,Suzanne Jones,e01072,person,,current,True,True,False,Endorsers
2015,Suzanne Jones,e01075,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e01077,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e01197,person,,current,False,True,False,Endorsers
2015,Suzanne Jones,e01215,person,,current,True,True,False,Endorsers
2015,Suzanne Jones,e01229,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e01255,person,,former,True,True,False,Endorsers
2015,Suzanne Jones,e01356,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e01470,person,,current,True,True,False,Endorsers
2015,Suzanne Jones,e01477,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e01705,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e01708,person,,former,True,True,False,Endorsers
2015,Suzanne Jones,e01787,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e01803,person,,former,False,True,False,Endorsers
2015,Suzanne Jones,e01837,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e01877,person,,,False,False,False,Endorsers
2015,Suzanne Jones,e01917,person,,current,False,True,False,Endorsers
2015,Suzanne Jones,e01923,person,,current,True,True,False,Endorsers
2017,Adam Swetlik,e01287,person,,,False,False,False,Contact me today!
2017,Adam Swetlik,e01335,person,,,False,False,False,Meet Adam Swetlik
2017,Adam Swetlik,e01377,person,,,False,False,False,Boulder Blue Line Profile
2017,Adam Swetlik,e01645,person,,,False,False,False,Boulder Blue Line Profile
2017,Adam Swetlik,org:open-boulder-survey,organization,advocacy,,False,False,False,Open Boulder Survey
2017,Bill Rigler,e00313,person,,,False,False,False,Current & Former Public Officials
2017,Bill Rigler,org:better-boulder-here,organization,advocacy,,False,False,False,ORGANIZATIONS
2017,Bill Rigler,org:business-leaders-entrepreneurs,organization,business,,False,False,False,Business Leaders & Entrepreneurs
2017,Eric Budd,e01154,person,,,False,False,False,Meet Eric Budd
2017,Eric Budd,org:take-action,organization,advocacy,,False,False,False,Take Action
2017,John Gerstle,e00054,person,,,False,False,False,Boulder Citizens
2017,John Gerstle,e00118,person,,,False,False,False,Boulder Citizens
2017,John Gerstle,e00132,person,,,False,False,False,Groups and Organizations
2017,John Gerstle,e00133,person,,,False,False,False,Boulder Citizens
2017,John Gerstle,e00148,person,,current,True,True,False,Boulder Citizens
2017,John Gerstle,e00171,person,,,False,False,False,Boulder Citizens
