campaign_id,year,committee_type,committee,committee_number,candidate,kind,n_donors,dollars_itemized,candidate_sov,contest,votes,elected,slate_side,slate_side_two_poles,slate_groups
2022|issue|People for Voter Turnout,2022,Ballot Measure Committee,People for Voter Turnout,2022-BMC-003,,issue,64.0,12560.98,,,,,,,
2022|issue|Repeal CU South Annexation,2022,Ballot Measure Committee,Repeal CU South Annexation,2022-BMC-001,,issue,196.0,43447.03,,,,,,,
2022|issue|Save Boulder's Wild Spaces,2022,Ballot Measure Committee,Save Boulder's Wild Spaces,2022-BMC-004,,issue,2.0,1455.3,,,,,,,
2022|issue|Save Local Elections,2022,Ballot Measure Committee,Save Local Elections,2022-BMC-005,,issue,68.0,12659.74,,,,,,,
2023|cand|Aaron Brockett,2023,Official Candidate Committee,Brockett for Mayor,2023-OCC-010,Aaron Brockett,candidate,140.0,11305.0,Aaron Brockett,mayor,,,B,B,bedrooms_are_for_people;better_boulder;boulder_area_labor_council;boulder_dsa;boulder_progressives;boulder_weekly;colorado_immigrant_rights_coalition;colorado_working_families_party;daily_camera;sierra_club_indian_peaks;yellow_scene
2023|cand|Aaron Neyer,2023,Official Candidate Committee,Regeneration Boulder,2023-OCC-015,Aaron Neyer,candidate,27.0,1178.0,Aaron Gabriel Neyer,council,3483,FALSE,B,,bedrooms_are_for_people;boulder_area_labor_council
2023|cand|Christina Marquis,2023,Official Candidate Committee,Tina for Boulder City Council,2023-OCC-012,Christina Marquis,candidate,123.0,10835.0,Tina Marquis,council,14958,TRUE,A,A,boulder_elevated;daily_camera;plan_boulder_county;safer_boulder
2023|cand|Jacques Decalo,2023,Official Candidate Committee,Jacques for Council,2023-OCC-009,Jacques Decalo,candidate,98.0,4965.0,Jacques Decalo,council,3329,FALSE,,,
2023|cand|Jennifer Robins,2023,Official Candidate Committee,Jenny for Boulder,2023-OCC-006,Jennifer Robins,candidate,133.0,11605.0,Jenny Robins,council,11249,FALSE,A,A,boulder_elevated;colorado_restaurant_association_boco;plan_boulder_county;safer_boulder
2023|cand|Nicole Speer,2023,Official Candidate Committee,Together with Nicole Speer,2023-OCC-003,Nicole Speer,candidate,172.0,11435.14,Nicole Speer,mayor,,,B,B,bedrooms_are_for_people;boulder_area_labor_council;boulder_dsa;boulder_progressives;boulder_weekly;co_black_women_action;colorado_working_families_party;united_campus_workers;yellow_scene
2023|cand|Paul Tweedlie,2023,Official Candidate Committee,Tweedlie for Mayor,2023-OCC-016,Paul Tweedlie,candidate,1.0,41.64,Paul Tweedlie,mayor,,,,,
2023|cand|Robert Yates,2023,Official Candidate Committee,Bob Yates for Mayor,2023-OCC-005,Robert Yates,candidate,410.0,36958.99,Bob Yates,mayor,,,A,A,boulder_elevated;daily_camera;plan_boulder_county;safer_boulder
2023|cand|Ryan Schuchard,2023,Official Candidate Committee,Friends of Ryan Schuchard,2023-OCC-013,Ryan Schuchard,candidate,146.0,11105.0,Ryan Schuchard,council,14411,TRUE,B,B,bedrooms_are_for_people;better_boulder;boulder_progressives;boulder_weekly;co_black_women_action;daily_camera;run_on_climate;sierra_club_indian_peaks;yellow_scene
2023|cand|Silas Atkins,2023,Official Candidate Committee,Silas Atkins For Boulder,2023-OCC-014,Silas Atkins,candidate,21.0,1394.78,Silas Atkins,council,6829,FALSE,B,,bedrooms_are_for_people;boulder_area_labor_council;boulder_dsa;boulder_weekly;co_black_women_action;united_campus_workers
2023|cand|Taishya Adams,2023,Official Candidate Committee,Friends 4 Taishya Adams,2023-OCC-004,Taishya Adams,candidate,167.0,11372.74,Taishya Adams,council,14633,TRUE,B,B,bedrooms_are_for_people;better_boulder;boulder_area_labor_council;boulder_dsa;boulder_progressives;boulder_weekly;daily_camera;sierra_club_indian_peaks;united_campus_workers;yellow_scene
