donor_id,first_year,last_year,n_years,n_campaigns,total_dollars,key_has_zip,zip
d02502,2017,2017,1,1,30.0,True,80303
d02503,2015,2015,1,2,55.0,True,80301
d02504,2023,2023,1,1,100.0,True,80026
d02505,2023,2023,1,1,100.0,True,80007
d02506,2023,2023,1,1,20.0,True,80305
d02507,2019,2019,1,1,25.0,True,80304
d02508,2026,2026,1,1,25.0,False,
d02509,2020,2020,1,1,8411.76,True,80302
d02510,2023,2026,3,5,500.0,True,80302
d02511,2020,2020,1,1,90.0,True,80016
d02512,2015,2015,1,4,1200.0,True,80305
d02513,2019,2019,1,1,100.0,False,
d02514,2020,2020,1,1,311.84,False,
d02515,2023,2023,1,1,10.0,True,80304
d02516,2023,2025,2,2,200.0,True,66206
d02517,2019,2019,1,1,30.0,True,80210
d02518,2021,2021,1,1,100.0,True,20895
d02519,2017,2023,2,2,150.0,True,80306
d02520,2025,2025,1,1,100.0,False,
d02521,2019,2019,1,1,50.0,True,80504
d02522,2023,2023,1,1,100.0,False,
d02523,2025,2026,2,3,300.0,False,
d02524,2015,2015,1,2,100.0,True,80304
d02525,2023,2023,1,1,100.0,True,80303
d02526,2015,2017,2,2,107.0,True,80302
d02527,2025,2025,1,1,100.0,False,
d02528,2019,2019,1,1,25.0,False,
d02529,2015,2015,1,1,25.0,True,80304
d02530,2017,2023,2,2,200.0,True,80304
d02531,2017,2017,1,1,100.0,True,80303
d02532,2023,2023,1,1,100.0,True,94947
d02533,2017,2017,1,1,10.0,False,
d02534,2023,2023,1,1,50.0,True,80304
d02535,2023,2023,1,1,75.0,True,80304
d02536,2017,2017,1,1,10.0,True,80026
d02537,2015,2017,2,2,200.0,True,10040
d02538,2019,2019,1,1,25.0,True,80205
d02539,2025,2025,1,1,25.0,False,
d02540,2017,2017,1,1,25.0,True,80303
d02541,2020,2020,1,1,50.0,True,80504
d02542,2019,2019,1,2,200.0,True,80302
d02543,2025,2025,1,1,100.0,False,
d02544,2026,2026,1,1,50.0,False,
d02545,2023,2025,2,2,200.0,False,
d02546,2015,2015,1,2,961.5699999999999,True,80306
d02547,2019,2019,1,1,50.0,False,
d02548,2017,2020,2,2,75.0,True,80302
d02549,2015,2015,1,1,50.0,True,80303
d02550,2023,2023,1,2,100.0,True,80302
d02551,2021,2021,1,1,50.0,False,
d02552,2023,2023,1,1,100.0,True,80620
d02553,2015,2015,1,1,25.0,True,80305
d02554,2021,2025,3,3,125.0,True,80113
d02555,2018,2018,1,1,119.28,True,80026
d02556,2019,2019,1,1,25.0,False,
d02557,2019,2019,1,1,10.0,True,80120
d02558,2015,2015,1,1,100.0,True,75230
d02559,2015,2017,2,4,250.0,False,
d02560,2017,2026,4,6,599.0,True,80303
d02561,2021,2021,1,1,100.0,True,97520
d02562,2017,2017,1,1,20.0,True,80304
d02563,2017,2017,1,1,25.0,True,80127
d02564,2025,2025,1,2,200.0,False,
d02565,2015,2015,1,1,100.0,True,80238
d02566,2015,2015,1,2,70.0,False,
d02567,2020,2020,1,1,5.0,True,80302
d02568,2021,2021,1,1,50.0,True,80524
d02569,2017,2017,1,1,100.0,True,80503
d02570,2017,2020,2,2,119.0,False,
d02571,2025,2025,1,1,50.0,False,
d02572,2020,2020,1,1,10.7,False,
d02573,2020,2020,1,1,200.0,True,80304
d02574,2017,2017,1,1,50.0,True,46307
d02575,2015,2015,1,2,200.0,True,80301
d02576,2021,2021,1,1,10.7,False,
d02577,2022,2022,1,1,100.0,True,80302
d02578,2015,2015,1,1,89.89,True,80305
d02579,2022,2022,1,1,100.0,True,80305
d02580,2023,2023,1,1,50.0,True,11215
d02581,2019,2019,1,1,100.0,True,80111
d02582,2017,2017,1,1,5.0,True,80305
d02583,2021,2021,1,1,100.0,True,80302
d02584,2023,2023,1,1,100.0,True,80302
d02585,2015,2015,1,1,50.0,True,80528
d02586,2019,2019,1,1,20.0,True,80304
d02587,2015,2015,1,1,1.0,True,80212
d02588,2017,2017,1,1,20.0,True,80304
d02589,2015,2015,1,1,100.0,True,80304
d02590,2023,2023,1,1,20.0,True,80304
d02591,2020,2020,1,1,50.0,False,
d02592,2017,2020,2,2,200.0,True,80302
d02593,2024,2024,1,1,50.0,False,
d02594,2015,2015,1,1,25.0,True,80303
d02595,2019,2021,2,4,200.0,True,80027
d02596,2023,2023,1,1,100.0,True,60004
d02597,2017,2017,1,1,100.0,True,80304
d02598,2017,2017,1,1,100.0,True,80304
d02599,2023,2023,1,1,100.0,True,80305
d02600,2026,2026,1,1,100.0,False,
d02601,2020,2020,1,1,900.0,False,
d02602,2021,2021,1,1,50.0,True,80302
d02603,2026,2026,1,1,26.41,False,
d02604,2015,2015,1,1,50.0,True,04855
d02605,2023,2023,1,1,100.0,True,60613
d02606,2019,2019,1,1,100.0,True,80304
d02607,2022,2023,2,3,399.64,True,80304
d02608,2019,2019,1,1,50.0,True,80302
d02609,2015,2015,1,1,100.0,True,80304
d02610,2017,2019,2,2,200.0,True,80304
d02611,2017,2017,1,1,5.0,True,63141
d02612,2019,2025,3,7,700.0,True,80304
d02613,2017,2017,1,1,50.0,False,
d02614,2026,2026,1,1,25.0,False,
d02615,2023,2023,1,1,25.0,True,80302
d02616,2019,2026,2,2,200.0,True,80303
d02617,2021,2023,2,5,2650.0,True,80302
d02618,2017,2017,1,2,75.0,True,80302
d02619,2017,2017,1,1,25.0,False,
d02620,2017,2017,1,1,25.0,False,
d02621,2023,2023,1,1,50.0,True,80303
d02622,2023,2023,1,1,50.0,True,80304
d02623,2015,2015,1,1,35.0,True,80027
d02624,2015,2015,1,1,40.0,True,80303
d02625,2022,2022,1,1,500.0,True,80301
d02626,2015,2023,2,7,350.0,True,80302
d02627,2015,2015,1,1,200.0,True,80302
d02628,2020,2023,2,2,600.0,False,
d02629,2017,2017,1,1,25.0,True,80422
d02630,2017,2017,1,2,200.0,True,80304
d02631,2015,2025,5,7,625.0,True,80302
d02632,2017,2023,3,3,300.0,True,80026
d02633,2026,2026,1,1,25.0,False,
d02634,2015,2015,1,1,25.0,True,80305
d02635,2017,2017,1,1,20.0,True,80304
d02636,2025,2025,1,1,25.0,False,
d02637,2019,2019,1,1,100.0,False,
d02638,2021,2021,1,1,100.0,True,19083
d02639,2015,2017,2,2,200.0,True,81301
d02640,2021,2021,1,1,5.0,True,80305
d02641,2021,2021,1,1,104.15,True,80026
d02642,2015,2019,2,2,125.0,True,80303
d02643,2015,2015,1,1,25.0,True,80501
d02644,2023,2023,1,1,100.0,False,
d02645,2023,2023,1,1,100.0,True,80303
d02646,2021,2021,1,2,2119.62,False,
d02647,2021,2023,2,2,130.0,True,80026
d02648,2019,2019,1,1,100.0,True,80302
d02649,2020,2021,2,2,204.15,False,
d02650,2017,2017,1,1,100.0,False,
d02651,2015,2015,1,1,25.0,True,80203
d02652,2026,2026,1,1,50.0,False,
d02653,2017,2017,1,1,15.0,True,80303
d02654,2016,2016,1,1,25.0,True,80124
d02655,2019,2022,3,4,101.0,True,80303
d02656,2015,2015,1,1,100.0,True,95928
d02657,2017,2017,1,2,50.0,True,80021
d02658,2019,2019,1,1,25.0,False,
d02659,2015,2015,1,1,30.0,False,
d02660,2017,2017,1,1,100.0,True,80304
d02661,2020,2020,1,1,20.0,True,80110
d02662,2017,2017,1,1,50.0,True,80301
d02663,2025,2025,1,1,100.0,False,
d02664,2017,2021,2,2,175.0,False,
d02665,2020,2020,1,1,104.15,False,
d02666,2015,2015,1,1,100.0,True,80304
d02667,2022,2022,1,1,500.0,True,80301
d02668,2025,2026,2,2,50.0,False,
d02669,2017,2017,1,1,50.0,True,80304
d02670,2025,2026,2,2,125.0,False,
d02671,2017,2017,1,1,50.0,True,80304
d02672,2026,2026,1,1,50.0,False,
d02673,2025,2026,2,2,200.0,False,
d02674,2019,2019,1,1,50.0,True,80206
d02675,2023,2023,1,1,100.0,True,80304
d02676,2022,2022,1,1,100.0,True,80305
d02677,2023,2026,2,2,200.0,True,97232
d02678,2021,2021,1,1,50.0,True,80306
d02679,2019,2019,1,1,10.0,True,20009
d02680,2025,2025,1,1,50.0,False,
d02681,2019,2019,1,1,50.0,False,
d02682,2021,2021,1,1,100.0,True,80304
d02683,2020,2026,3,6,1850.0,False,
d02684,2022,2022,1,1,100.0,True,80302
d02685,2017,2017,1,1,100.0,False,
d02686,2023,2023,1,1,50.0,True,80304
d02687,2025,2025,1,1,50.0,False,
d02688,2025,2025,1,1,100.0,False,
d02689,2026,2026,1,1,25.0,False,
d02690,2019,2019,1,1,100.0,True,80504
