series,year,label,url,fmt,measure,grain,filename
membership,2003,Pupil Counts by Grade Comparisons (1983-1993-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200359internet.pdf,pdf,other,unknown,ed59017200359internet.pdf
membership,2003,Pupil Counts by Grade Comparisons (1983-1993-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200360internet.xls,xls,other,unknown,ed59017200360internet.xls
membership,2003,Pupil Counts by Race/Ethnicity Comparisons (1983-1993-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200361internet.pdf,pdf,other,unknown,ed59017200361internet.pdf
membership,2003,Pupil Counts by Race/Ethnicity Comparisons (1983-1993-2003),https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200362internet.xls,xls,other,unknown,ed59017200362internet.xls
membership,2003,"Fall 2003 Pupil Membership Downloaded from the Colorado Department of Education, Research and Evaluation Unit website. ED5/90.17/INTERNET NOTE: 2/4/2004 Detenti",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200363internet.pdf,pdf,other,unknown,ed59017200363internet.pdf
membership,2003,Student Teacher Ratios,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200364internet.pdf,pdf,teacher_fte,district,ed59017200364internet.pdf
membership,2003,Student Teacher Ratios,https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2003/ed59017200365internet.xls,xls,teacher_fte,district,ed59017200365internet.xls
membership,2004,"K-12 Free and Reduced Lunch Eligibility by County, and District",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2004/ed59017200401internet.pdf,pdf,other,unknown,ed59017200401internet.pdf
membership,2004,"K-12 Free and Reduced Lunch Eligibility by County, and District",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2004/ed59017200402internet.xls,xls,other,unknown,ed59017200402internet.xls
membership,2004,"K-12 Free and Reduced Lunch Eligibility by County, District, and School",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2004/ed59017200403internet.pdf,pdf,other,unknown,ed59017200403internet.pdf
membership,2004,"K-12 Free and Reduced Lunch Eligibility by County, District, and School",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2004/ed59017200404internet.xls,xls,other,unknown,ed59017200404internet.xls
membership,2004,"PK-12 Free and Reduced Lunch Eligibility by County, and District",https://spl.cde.state.co.us/artemis/edserials/ed59017internet/2004/ed59017200405internet.pdf,pdf,other,unknown,ed59017200405internet.pdf
