year,measure,basis,value,unit,source_id
2021,deptexp_infrastructure,adopted,134.253,musd,books
2021,deptexp_parks_openspace,adopted,56.781,musd,books
2021,deptexp_planning_climate,adopted,18.791,musd,books
2021,deptexp_public_safety,adopted,58.212,musd,books
2021,net_revenues_less_expenses,actual,58.648425,musd,snapshot2023
2021,revenue_intergovernmental,adopted,9.716,musd,booksocr
2021,revenue_other_unmapped,adopted,75.869,musd,booksocr
2021,revenue_property_tax,adopted,50.267,musd,booksocr
2021,revenue_sales_use_tax,adopted,129.93,musd,booksocr
2021,revenue_total,adopted,337.7,musd,booksocr
2021,revenue_utility,adopted,71.918,musd,booksocr
2021,sources_revenue_accommodation_admission_tax,actual,7.795783,musd,snapshot2023
2021,sources_revenue_charges_for_services,actual,5.427693,musd,snapshot2023
2021,sources_revenue_cost_allocation,actual,11.455827,musd,snapshot2023
2021,sources_revenue_development_impact_fees,actual,20.139445,musd,snapshot2023
2021,sources_revenue_franchise_fees,actual,0.919275,musd,snapshot2023
2021,sources_revenue_grants,actual,4.819318,musd,snapshot2023
2021,sources_revenue_intergovernmental,actual,16.527977,musd,snapshot2023
2021,sources_revenue_intragovernmental_charges,actual,22.709384,musd,snapshot2023
2021,sources_revenue_investment_earnings_bonds,actual,8.444586,musd,snapshot2023
2021,sources_revenue_leases_rents_royalties,actual,9.242514,musd,snapshot2023
2021,sources_revenue_licenses_permits_fines,actual,12.927754,musd,snapshot2023
2021,sources_revenue_misc_sales_materials_goods,actual,9.145467,musd,snapshot2023
2021,sources_revenue_other,actual,33.539525,musd,snapshot2023
2021,sources_revenue_property_tax,actual,49.756122,musd,snapshot2023
2021,sources_revenue_sales_use_tax,actual,152.231769,musd,snapshot2023
2021,sources_revenue_specific_ownership_tobacco,actual,2.788293,musd,snapshot2023
2021,sources_revenue_total,actual,472.32985,musd,snapshot2023
2021,sources_revenue_transfers_in,actual,30.151267,musd,snapshot2023
2021,sources_revenue_utility,actual,74.307851,musd,snapshot2023
2021,staffing_fte,adopted,1375.83,fte,books
2021,staffing_fte,restated,1402.2,fte,books
2021,uses_expense_capital,actual,56.51875,musd,snapshot2023
2021,uses_expense_debt_service,actual,28.616988,musd,snapshot2023
2021,uses_expense_internal_services,actual,20.016651,musd,snapshot2023
2021,uses_expense_operating,actual,114.992085,musd,snapshot2023
2021,uses_expense_personnel,actual,151.929858,musd,snapshot2023
2021,uses_expense_total,actual,413.681426,musd,snapshot2023
2021,uses_expense_transfers,actual,41.607094,musd,snapshot2023
2022,budget_capital,adopted,162.425,musd,booksocr
2022,budget_general_fund,adopted,164.657,musd,books
2022,budget_general_fund_revenue,adopted,166.602,musd,books
2022,budget_operating,adopted,300.094,musd,booksocr
2022,budget_operating_dedicated,adopted,165.948,musd,booksocr
2022,budget_operating_general,adopted,134.145,musd,booksocr
2022,budget_total,adopted,462.519,musd,books
2022,deptexp_administration,adopted,44.772,musd,books
2022,deptexp_community_services,adopted,34.46,musd,books
2022,deptexp_infrastructure,adopted,239.622,musd,books
2022,deptexp_parks_openspace,adopted,59.181,musd,books
2022,deptexp_planning_climate,adopted,20.577,musd,books
2022,deptexp_public_safety,adopted,63.907,musd,books
2022,net_revenues_less_expenses,adopted,11.824986,musd,snapshot2023
2022,revenue_intergovernmental,adopted,15.286,musd,booksocr
2022,revenue_other_unmapped,adopted,185.493,musd,booksocr
2022,revenue_property_tax,adopted,53.117,musd,booksocr
2022,revenue_sales_use_tax,adopted,141.002,musd,booksocr
2022,revenue_total,adopted,471.372,musd,booksocr
2022,revenue_utility,adopted,76.474,musd,booksocr
2022,salesuse_audits_sales,actual,0.08,musd,forecast2026
2022,salesuse_audits_use,actual,0.55,musd,forecast2026
2022,salesuse_construction_use,actual,12.91,musd,forecast2026
2022,salesuse_consumer_business_use,actual,12.11,musd,forecast2026
2022,salesuse_motor_vehicle_use,actual,6.07,musd,forecast2026
2022,salesuse_rec_marijuana_addl,actual,1.71,musd,forecast2026
2022,salesuse_retail,actual,135.68,musd,forecast2026
2022,salesuse_total,actual,169.11,musd,forecast2026
2022,sources_revenue_accommodation_admission_tax,adopted,8.838844,musd,snapshot2023
2022,sources_revenue_charges_for_services,adopted,6.607609,musd,snapshot2023
