year,area_code,area_name,prim_state,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_median,a_median,h_pct10,h_pct25,h_pct75,h_pct90,a_pct10,a_pct25,a_pct75,a_pct90,jobs_1000,loc_quotient,annual,hourly
2013,14500,"Boulder, CO",CO,19-4031,Chemical Technicians,detailed,70,20.9,22.83,47480,4.2,23.88,49670,11.43,18.84,28.38,32.7,23760,39180,59020,68020,0.399,0.83,,
2013,14500,"Boulder, CO",CO,19-4091,"Environmental Science and Protection Technicians, Including Health",detailed,**,**,19.94,41470,24,16.78,34900,12.63,14.12,22.71,38.44,26260,29370,47230,79950,**,**,,
2013,14500,"Boulder, CO",CO,19-4093,Forest and Conservation Technicians,detailed,40,14.4,20.92,43510,8.4,20.42,42470,14.44,16.15,24.8,29.61,30040,33600,51580,61580,0.26,1.16,,
2013,14500,"Boulder, CO",CO,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,100,18.5,22.19,46160,4.5,19.66,40890,12.25,14.09,27.84,37.57,25480,29320,57920,78150,0.623,1.33,,
2013,14500,"Boulder, CO",CO,21-0000,Community and Social Service Occupations,major,2230,4.8,21.67,45070,3,20.73,43130,12.88,16.08,26.33,32.73,26780,33460,54770,68070,13.684,0.95,,
2013,14500,"Boulder, CO",CO,21-1011,Substance Abuse and Behavioral Disorder Counselors,detailed,90,19.4,21.15,44000,1.8,21.42,44540,13.74,16.97,25.55,28.39,28580,35300,53150,59060,0.539,0.86,,
2013,14500,"Boulder, CO",CO,21-1012,"Educational, Guidance, School, and Vocational Counselors",detailed,240,19.9,25.46,52960,2.5,25.4,52830,17.71,21.07,29.85,34.3,36840,43820,62090,71350,1.469,0.81,,
2013,14500,"Boulder, CO",CO,21-1014,Mental Health Counselors,detailed,260,21.1,20.74,43130,10,17.86,37150,13.3,15.26,24.62,34.08,27660,31730,51210,70890,1.614,1.85,,
2013,14500,"Boulder, CO",CO,21-1015,Rehabilitation Counselors,detailed,40,30.5,20,41600,5.4,18.39,38240,12.66,15.45,22.73,29.18,26330,32130,47280,60700,0.242,0.31,,
2013,14500,"Boulder, CO",CO,21-1021,"Child, Family, and School Social Workers",detailed,470,11.6,23.55,48990,2.6,21.89,45540,14.15,18.86,27.51,34.86,29420,39230,57220,72500,2.859,1.37,,
