county_fips,year,age_group,age_lo,age_hi,pop
22033,1990,65-69,65,69,12437
22033,1990,70-74,70,74,9067
22033,1990,75-79,75,79,6312
22033,1990,80-84,80,84,4025
22033,1990,85+,85,999,3044
22033,2000,0-4,0,4,29101
22033,2000,5-9,5,9,30021
22033,2000,10-14,10,14,29884
22033,2000,15-17,15,17,19060
22033,2000,18-19,18,19,18655
22033,2000,20-24,20,24,40930
22033,2000,25-29,25,29,29779
22033,2000,30-34,30,34,27833
22033,2000,35-39,35,39,30087
22033,2000,40-44,40,44,30778
22033,2000,45-49,45,49,29141
22033,2000,50-54,50,54,24956
22033,2000,55-59,55,59,18172
22033,2000,60-64,60,64,13523
22033,2000,65-69,65,69,11400
22033,2000,70-74,70,74,10640
22033,2000,75-79,75,79,8791
22033,2000,80-84,80,84,5568
22033,2000,85+,85,999,4533
22033,2010,0-4,0,4,29507
22033,2010,5-9,5,9,28254
22033,2010,10-14,10,14,28208
22033,2010,15-17,15,17,17696
22033,2010,18-19,18,19,16706
22033,2010,20-24,20,24,45628
22033,2010,25-29,25,29,37917
22033,2010,30-34,30,34,29236
22033,2010,35-39,35,39,25523
22033,2010,40-44,40,44,25409
22033,2010,45-49,45,49,28600
22033,2010,50-54,50,54,29626
22033,2010,55-59,55,59,27286
22033,2010,60-64,60,64,22545
22033,2010,65-69,65,69,15484
22033,2010,70-74,70,74,11001
22033,2010,75-79,75,79,8446
22033,2010,80-84,80,84,6773
22033,2010,85+,85,999,6326
22033,2020,0-4,0,4,27344
22033,2020,5-9,5,9,27917
22033,2020,10-14,10,14,28843
22033,2020,15-17,15,17,17065
22033,2020,18-19,18,19,18842
22033,2020,20-24,20,24,41018
22033,2020,25-29,25,29,34503
22033,2020,30-34,30,34,31590
22033,2020,35-39,35,39,30616
22033,2020,40-44,40,44,26336
22033,2020,45-49,45,49,24159
22033,2020,50-54,50,54,24741
22033,2020,55-59,55,59,27144
22033,2020,60-64,60,64,27310
22033,2020,65-69,65,69,24110
22033,2020,70-74,70,74,18562
22033,2020,75-79,75,79,11838
22033,2020,80-84,80,84,7497
22033,2020,85+,85,999,7346
25017,1990,0-4,0,4,90562
25017,1990,5-9,5,9,79830
25017,1990,10-14,10,14,73745
25017,1990,15-17,15,17,46855
25017,1990,18-19,18,19,44534
25017,1990,20-24,20,24,123800
25017,1990,25-29,25,29,143324
25017,1990,30-34,30,34,132813
25017,1990,35-39,35,39,115817
25017,1990,40-44,40,44,103980
25017,1990,45-49,45,49,80684
25017,1990,50-54,50,54,64943
25017,1990,55-59,55,59,61814
25017,1990,60-64,60,64,60648
25017,1990,65-69,65,69,54730
25017,1990,70-74,70,74,43025
25017,1990,75-79,75,79,33903
25017,1990,80-84,80,84,23196
25017,1990,85+,85,999,20265
25017,2000,0-4,0,4,92008
25017,2000,5-9,5,9,94579
25017,2000,10-14,10,14,92002
25017,2000,15-17,15,17,50484
25017,2000,18-19,18,19,37250
25017,2000,20-24,20,24,94217
25017,2000,25-29,25,29,112256
25017,2000,30-34,30,34,123654
25017,2000,35-39,35,39,130813
25017,2000,40-44,40,44,122834
25017,2000,45-49,45,49,107197
25017,2000,50-54,50,54,95136
25017,2000,55-59,55,59,70974
25017,2000,60-64,60,64,54685
25017,2000,65-69,65,69,49329
25017,2000,70-74,70,74,46506
25017,2000,75-79,75,79,39540
25017,2000,80-84,80,84,26847
25017,2000,85+,85,999,25085
25017,2010,0-4,0,4,85671
25017,2010,5-9,5,9,87493
25017,2010,10-14,10,14,90446
25017,2010,15-17,15,17,56829
25017,2010,18-19,18,19,41544
25017,2010,20-24,20,24,101746
25017,2010,25-29,25,29,113746
25017,2010,30-34,30,34,104578
25017,2010,35-39,35,39,102073
25017,2010,40-44,40,44,110945
25017,2010,45-49,45,49,120213
25017,2010,50-54,50,54,112788
25017,2010,55-59,55,59,96663
25017,2010,60-64,60,64,81335
25017,2010,65-69,65,69,57018
25017,2010,70-74,70,74,42739
25017,2010,75-79,75,79,36319
25017,2010,80-84,80,84,30183
25017,2010,85+,85,999,30756
25017,2020,0-4,0,4,80756
25017,2020,5-9,5,9,87692
25017,2020,10-14,10,14,92646
25017,2020,15-17,15,17,57171
