place_fips,year,age_group,age_lo,age_hi,pop
3673000,2010,75-79,75,79,2671
3673000,2010,80-84,80,84,2443
3673000,2010,85+,85,999,3076
3673000,2020,0-4,0,4,9136
3673000,2020,5-9,5,9,8926
3673000,2020,10-14,10,14,8640
3673000,2020,15-17,15,17,4981
3673000,2020,18-19,18,19,8849
3673000,2020,20-24,20,24,18445
3673000,2020,25-29,25,29,13418
3673000,2020,30-34,30,34,10890
3673000,2020,35-39,35,39,8746
3673000,2020,40-44,40,44,7187
3673000,2020,45-49,45,49,6650
3673000,2020,50-54,50,54,7390
3673000,2020,55-59,55,59,8108
3673000,2020,60-64,60,64,7942
3673000,2020,65-69,65,69,6429
3673000,2020,70-74,70,74,4700
3673000,2020,75-79,75,79,2865
3673000,2020,80-84,80,84,2061
3673000,2020,85+,85,999,3257
3711800,1990,0-4,0,4,1598
3711800,1990,5-9,5,9,1578
3711800,1990,10-14,10,14,1403
3711800,1990,15-17,15,17,869
3711800,1990,18-19,18,19,4878
3711800,1990,20-24,20,24,9160
3711800,1990,25-29,25,29,4152
3711800,1990,30-34,30,34,2587
3711800,1990,35-39,35,39,2351
3711800,1990,40-44,40,44,2129
3711800,1990,45-49,45,49,1624
3711800,1990,50-54,50,54,1129
3711800,1990,55-59,55,59,1022
3711800,1990,60-64,60,64,909
3711800,1990,65-69,65,69,981
3711800,1990,70-74,70,74,822
3711800,1990,75-79,75,79,637
3711800,1990,80-84,80,84,477
3711800,1990,85+,85,999,413
3711800,2000,0-4,0,4,1754
3711800,2000,5-9,5,9,2067
3711800,2000,10-14,10,14,2236
3711800,2000,15-17,15,17,1289
3711800,2000,18-19,18,19,6587
3711800,2000,20-24,20,24,11469
3711800,2000,25-29,25,29,4099
3711800,2000,30-34,30,34,2835
3711800,2000,35-39,35,39,2448
3711800,2000,40-44,40,44,2544
3711800,2000,45-49,45,49,2623
3711800,2000,50-54,50,54,2179
3711800,2000,55-59,55,59,1570
3711800,2000,60-64,60,64,1094
3711800,2000,65-69,65,69,976
3711800,2000,70-74,70,74,921
3711800,2000,75-79,75,79,898
3711800,2000,80-84,80,84,584
3711800,2000,85+,85,999,542
3711800,2010,0-4,0,4,2391
3711800,2010,5-9,5,9,2909
3711800,2010,10-14,10,14,2896
3711800,2010,15-17,15,17,1749
3711800,2010,18-19,18,19,5944
3711800,2010,20-24,20,24,12065
3711800,2010,25-29,25,29,4410
3711800,2010,30-34,30,34,3069
3711800,2010,35-39,35,39,2823
3711800,2010,40-44,40,44,3199
3711800,2010,45-49,45,49,3016
3711800,2010,50-54,50,54,2911
3711800,2010,55-59,55,59,2518
3711800,2010,60-64,60,64,2052
3711800,2010,65-69,65,69,1553
3711800,2010,70-74,70,74,1085
3711800,2010,75-79,75,79,950
3711800,2010,80-84,80,84,803
3711800,2010,85+,85,999,890
3711800,2020,0-4,0,4,2058
3711800,2020,5-9,5,9,2824
3711800,2020,10-14,10,14,3089
3711800,2020,15-17,15,17,1963
3711800,2020,18-19,18,19,6716
3711800,2020,20-24,20,24,12749
3711800,2020,25-29,25,29,4662
3711800,2020,30-34,30,34,3326
3711800,2020,35-39,35,39,2898
3711800,2020,40-44,40,44,2850
3711800,2020,45-49,45,49,2889
3711800,2020,50-54,50,54,3083
3711800,2020,55-59,55,59,2663
3711800,2020,60-64,60,64,2363
3711800,2020,65-69,65,69,2294
3711800,2020,70-74,70,74,2022
3711800,2020,75-79,75,79,1490
3711800,2020,80-84,80,84,963
3711800,2020,85+,85,999,1058
3719000,1990,0-4,0,4,9977
3719000,1990,5-9,5,9,8230
3719000,1990,10-14,10,14,7447
3719000,1990,15-17,15,17,4379
3719000,1990,18-19,18,19,6040
3719000,1990,20-24,20,24,14943
3719000,1990,25-29,25,29,15423
3719000,1990,30-34,30,34,13955
3719000,1990,35-39,35,39,11855
3719000,1990,40-44,40,44,9248
3719000,1990,45-49,45,49,6141
3719000,1990,50-54,50,54,4555
3719000,1990,55-59,55,59,4306
3719000,1990,60-64,60,64,4669
3719000,1990,65-69,65,69,4699
3719000,1990,70-74,70,74,3831
3719000,1990,75-79,75,79,3128
3719000,1990,80-84,80,84,2108
3719000,1990,85+,85,999,1677
3719000,2000,0-4,0,4,13419
3719000,2000,5-9,5,9,12289
3719000,2000,10-14,10,14,11194
3719000,2000,15-17,15,17,5988
3719000,2000,18-19,18,19,6852
3719000,2000,20-24,20,24,19439
3719000,2000,25-29,25,29,20096
3719000,2000,30-34,30,34,17506
3719000,2000,35-39,35,39,15445
3719000,2000,40-44,40,44,13629
3719000,2000,45-49,45,49,11993
3719000,2000,50-54,50,54,10058
3719000,2000,55-59,55,59,6710
3719000,2000,60-64,60,64,5002
3719000,2000,65-69,65,69,4358
3719000,2000,70-74,70,74,4190
3719000,2000,75-79,75,79,3841
3719000,2000,80-84,80,84,2656
3719000,2000,85+,85,999,2370
3719000,2010,0-4,0,4,17583
3719000,2010,5-9,5,9,14305
3719000,2010,10-14,10,14,12492
3719000,2010,15-17,15,17,7515
3719000,2010,18-19,18,19,8239
3719000,2010,20-24,20,24,21370
3719000,2010,25-29,25,29,23144
3719000,2010,30-34,30,34,21248
3719000,2010,35-39,35,39,17675
3719000,2010,40-44,40,44,14845
3719000,2010,45-49,45,49,14320
3719000,2010,50-54,50,54,13419
3719000,2010,55-59,55,59,12209
3719000,2010,60-64,60,64,9820
3719000,2010,65-69,65,69,6347
3719000,2010,70-74,70,74,4266
3719000,2010,75-79,75,79,3414
3719000,2010,80-84,80,84,2927
3719000,2010,85+,85,999,3192
3719000,2020,0-4,0,4,17110
3719000,2020,5-9,5,9,15941
3719000,2020,10-14,10,14,15771
3719000,2020,15-17,15,17,8811
3719000,2020,18-19,18,19,9385
3719000,2020,20-24,20,24,22922
3719000,2020,25-29,25,29,29557
3719000,2020,30-34,30,34,27501
3719000,2020,35-39,35,39,21447
3719000,2020,40-44,40,44,17878
3719000,2020,45-49,45,49,16345
3719000,2020,50-54,50,54,15063
3719000,2020,55-59,55,59,15135
3719000,2020,60-64,60,64,14474
3719000,2020,65-69,65,69,12702
3719000,2020,70-74,70,74,10075
3719000,2020,75-79,75,79,6087
3719000,2020,80-84,80,84,3594
3719000,2020,85+,85,999,3708
4123850,1990,0-4,0,4,6726
4123850,1990,5-9,5,9,6996
4123850,1990,10-14,10,14,6589
4123850,1990,15-17,15,17,3643
4123850,1990,18-19,18,19,5312
4123850,1990,20-24,20,24,13743
4123850,1990,25-29,25,29,9277
4123850,1990,30-34,30,34,9152
4123850,1990,35-39,35,39,10371
4123850,1990,40-44,40,44,9069
4123850,1990,45-49,45,49,6090
4123850,1990,50-54,50,54,4050
4123850,1990,55-59,55,59,3606
4123850,1990,60-64,60,64,3769
4123850,1990,65-69,65,69,4182
4123850,1990,70-74,70,74,3594
4123850,1990,75-79,75,79,2802
4123850,1990,80-84,80,84,1988
4123850,1990,85+,85,999,1710
4123850,2000,0-4,0,4,7367
4123850,2000,5-9,5,9,7550
4123850,2000,10-14,10,14,8029
4123850,2000,15-17,15,17,5107
4123850,2000,18-19,18,19,6478
4123850,2000,20-24,20,24,17390
4123850,2000,25-29,25,29,11340
4123850,2000,30-34,30,34,9251
4123850,2000,35-39,35,39,9126
4123850,2000,40-44,40,44,9530
4123850,2000,45-49,45,49,10793
