countyfips,year,age,totalpopulation
13,1999,54,2830
13,1999,55,2745
13,1999,56,2610
13,1999,57,2467
13,1999,58,2133
13,1999,59,2029
13,1999,60,1856
13,1999,61,1723
13,1999,62,1677
13,1999,63,1522
13,1999,64,1524
13,1999,65,1460
13,1999,66,1298
13,1999,67,1304
13,1999,68,1280
13,1999,69,1178
13,1999,70,1185
13,1999,71,1057
13,1999,72,1089
13,1999,73,1034
13,1999,74,988
13,1999,75,945
13,1999,76,907
13,1999,77,881
13,1999,78,852
13,1999,79,760
13,1999,80,710
13,1999,81,693
13,1999,82,616
13,1999,83,520
13,1999,84,517
13,1999,85,459
13,1999,86,409
13,1999,87,354
13,1999,88,297
13,1999,89,282
13,1999,90,990
13,2000,0,3427
13,2000,1,3300
13,2000,2,3353
13,2000,3,3274
13,2000,4,3270
13,2000,5,3326
13,2000,6,3319
13,2000,7,3311
13,2000,8,3527
13,2000,9,3591
13,2000,10,3608
13,2000,11,3672
13,2000,12,3612
13,2000,13,3458
13,2000,14,3522
13,2000,15,3583
13,2000,16,3455
13,2000,17,3416
13,2000,18,5112
13,2000,19,6650
13,2000,20,6244
13,2000,21,5615
13,2000,22,4600
13,2000,23,4521
13,2000,24,4550
13,2000,25,4508
13,2000,26,4708
13,2000,27,4393
13,2000,28,4519
13,2000,29,4740
13,2000,30,4778
13,2000,31,5000
13,2000,32,4310
13,2000,33,4158
13,2000,34,4221
13,2000,35,4085
13,2000,36,4474
13,2000,37,4443
13,2000,38,4661
13,2000,39,4672
13,2000,40,4813
13,2000,41,4997
13,2000,42,4768
13,2000,43,5002
13,2000,44,4857
13,2000,45,4821
13,2000,46,4901
13,2000,47,4462
13,2000,48,4641
13,2000,49,4485
13,2000,50,4111
13,2000,51,4160
13,2000,52,3790
13,2000,53,3818
13,2000,54,3739
13,2000,55,2772
13,2000,56,2629
13,2000,57,2560
13,2000,58,2397
13,2000,59,2056
13,2000,60,1947
13,2000,61,1771
13,2000,62,1644
13,2000,63,1559
13,2000,64,1460
13,2000,65,1392
13,2000,66,1213
13,2000,67,1242
13,2000,68,1196
13,2000,69,1084
13,2000,70,1110
13,2000,71,995
13,2000,72,1022
13,2000,73,962
13,2000,74,929
13,2000,75,871
13,2000,76,881
13,2000,77,841
13,2000,78,827
13,2000,79,728
13,2000,80,689
