area_code,year,age_group_id,household_type_id,total_households
13,2037,1,3,5547
13,2037,2,3,12237
13,2037,3,3,21807
13,2037,4,3,26024
13,2037,0,4,32253
13,2037,1,4,887
13,2037,2,4,18352
13,2037,3,4,11197
13,2037,4,4,1816
13,2038,0,0,146154
13,2038,1,0,7980
13,2038,2,0,42357
13,2038,3,0,46488
13,2038,4,0,49330
13,2038,0,1,42569
13,2038,1,1,1498
13,2038,2,1,8363
13,2038,3,1,11831
13,2038,4,1,20877
13,2038,0,2,5391
13,2038,1,2,219
13,2038,2,2,3171
13,2038,3,2,1784
13,2038,4,2,217
13,2038,0,3,65890
13,2038,1,3,5422
13,2038,2,3,12355
13,2038,3,3,21720
13,2038,4,3,26394
13,2038,0,4,32304
13,2038,1,4,841
13,2038,2,4,18469
13,2038,3,4,11153
13,2038,4,4,1842
13,2039,0,0,146663
13,2039,1,0,7707
13,2039,2,0,42513
13,2039,3,0,46714
13,2039,4,0,49729
13,2039,0,1,42742
13,2039,1,1,1415
13,2039,2,1,8392
13,2039,3,1,11889
13,2039,4,1,21046
13,2039,0,2,5400
13,2039,1,2,207
13,2039,2,2,3181
13,2039,3,2,1793
13,2039,4,2,218
13,2039,0,3,66149
13,2039,1,3,5290
13,2039,2,3,12425
13,2039,3,3,21826
13,2039,4,3,26607
13,2039,0,4,32373
13,2039,1,4,794
13,2039,2,4,18514
13,2039,3,4,11207
13,2039,4,4,1857
13,2040,0,0,147107
13,2040,1,0,7482
13,2040,2,0,42828
13,2040,3,0,46218
13,2040,4,0,50579
13,2040,0,1,42963
13,2040,1,1,1343
13,2040,2,1,8452
13,2040,3,1,11762
13,2040,4,1,21406
13,2040,0,2,5397
13,2040,1,2,196
13,2040,2,2,3204
13,2040,3,2,1774
13,2040,4,2,222
13,2040,0,3,66388
13,2040,1,3,5189
13,2040,2,3,12543
13,2040,3,3,21593
13,2040,4,3,27062
13,2040,0,4,32359
13,2040,1,4,754
13,2040,2,4,18629
13,2040,3,4,11088
13,2040,4,4,1889
13,2041,0,0,147735
13,2041,1,0,7399
13,2041,2,0,43096
13,2041,3,0,46051
13,2041,4,0,51190
13,2041,0,1,43216
13,2041,1,1,1328
13,2041,2,1,8505
13,2041,3,1,11720
13,2041,4,1,21664
13,2041,0,2,5411
13,2041,1,2,194
13,2041,2,2,3224
13,2041,3,2,1768
13,2041,4,2,225
13,2041,0,3,66658
13,2041,1,3,5132
13,2041,2,3,12622
13,2041,3,3,21515
13,2041,4,3,27389
13,2041,0,4,32450
13,2041,1,4,745
13,2041,2,4,18746
13,2041,3,4,11048
13,2041,4,4,1912
13,2042,0,0,148301
13,2042,1,0,7346
13,2042,2,0,43325
13,2042,3,0,45763
13,2042,4,0,51867
13,2042,0,1,43466
13,2042,1,1,1318
13,2042,2,1,8550
13,2042,3,1,11647
13,2042,4,1,21951
13,2042,0,2,5419
13,2042,1,2,193
13,2042,2,2,3241
13,2042,3,2,1757
13,2042,4,2,228
13,2042,0,3,66916
13,2042,1,3,5095
13,2042,2,3,12689
13,2042,3,3,21381
13,2042,4,3,27751
13,2042,0,4,32501
13,2042,1,4,740
13,2042,2,4,18845
13,2042,3,4,10979
13,2042,4,4,1937
13,2043,0,0,148841
13,2043,1,0,7309
13,2043,2,0,43358
13,2043,3,0,45691
13,2043,4,0,52482
13,2043,0,1,43708
13,2043,1,1,1312
13,2043,2,1,8556
13,2043,3,1,11628
13,2043,4,1,22211
13,2043,0,2,5420
13,2043,1,2,192
13,2043,2,2,3244
13,2043,3,2,1754
13,2043,4,2,231
13,2043,0,3,67196
13,2043,1,3,5069
13,2043,2,3,12698
13,2043,3,3,21348
13,2043,4,3,28081
13,2043,0,4,32517
13,2043,1,4,736
13,2043,2,4,18860
13,2043,3,4,10962
13,2043,4,4,1960
13,2044,0,0,149334
13,2044,1,0,7279
13,2044,2,0,43267
13,2044,3,0,45916
13,2044,4,0,52872
13,2044,0,1,43906
13,2044,1,1,1306
13,2044,2,1,8538
13,2044,3,1,11685
13,2044,4,1,22376
13,2044,0,2,5423
13,2044,1,2,191
13,2044,2,2,3237
13,2044,3,2,1763
13,2044,4,2,232
13,2044,0,3,67462
13,2044,1,3,5049
13,2044,2,3,12672
13,2044,3,3,21453
13,2044,4,3,28289
13,2044,0,4,32543
13,2044,1,4,733
13,2044,2,4,18820
13,2044,3,4,11015
13,2044,4,4,1974
13,2045,0,0,149856
13,2045,1,0,7240
13,2045,2,0,43014
13,2045,3,0,46042
13,2045,4,0,53560
13,2045,0,1,44173
13,2045,1,1,1299
13,2045,2,1,8489
13,2045,3,1,11718
13,2045,4,1,22667
13,2045,0,2,5411
13,2045,1,2,190
13,2045,2,2,3218
13,2045,3,2,1767
13,2045,4,2,235
13,2045,0,3,67788
13,2045,1,3,5021
13,2045,2,3,12598
13,2045,3,3,21512
13,2045,4,3,28657
13,2045,0,4,32485
13,2045,1,4,729
13,2045,2,4,18710
13,2045,3,4,11046
13,2045,4,4,2000
13,2046,0,0,150314
13,2046,1,0,7205
13,2046,2,0,42746
13,2046,3,0,46300
13,2046,4,0,54062
13,2046,0,1,44392
13,2046,1,1,1293
13,2046,2,1,8436
13,2046,3,1,11783
13,2046,4,1,22880
13,2046,0,2,5402
13,2046,1,2,189
13,2046,2,2,3198
13,2046,3,2,1777
13,2046,4,2,238
13,2046,0,3,68074
13,2046,1,3,4997
13,2046,2,3,12519
13,2046,3,3,21632
13,2046,4,3,28926
13,2046,0,4,32446
13,2046,1,4,726
13,2046,2,4,18594
13,2046,3,4,11108
13,2046,4,4,2019
13,2047,0,0,150789
13,2047,1,0,7176
13,2047,2,0,42178
13,2047,3,0,46832
13,2047,4,0,54603
13,2047,0,1,44639
13,2047,1,1,1288
13,2047,2,1,8324
13,2047,3,1,11919
13,2047,4,1,23109
13,2047,0,2,5381
13,2047,1,2,188
13,2047,2,2,3156
13,2047,3,2,1798
13,2047,4,2,240
13,2047,0,3,68426
13,2047,1,3,4977
13,2047,2,3,12353
13,2047,3,3,21881
13,2047,4,3,29215
13,2047,0,4,32343
13,2047,1,4,723
13,2047,2,4,18346
13,2047,3,4,11235
13,2047,4,4,2039
13,2048,0,0,151204
13,2048,1,0,7165
13,2048,2,0,41709
13,2048,3,0,47194
13,2048,4,0,55135
13,2048,0,1,44862
13,2048,1,1,1286
13,2048,2,1,8231
13,2048,3,1,12011
13,2048,4,1,23334
13,2048,0,2,5362
13,2048,1,2,188
13,2048,2,2,3120
13,2048,3,2,1812
13,2048,4,2,242
13,2048,0,3,68735
13,2048,1,3,4970
13,2048,2,3,12215
13,2048,3,3,22050
13,2048,4,3,29500
13,2048,0,4,32245
13,2048,1,4,722
13,2048,2,4,18142
13,2048,3,4,11322
13,2048,4,4,2059
13,2049,0,0,151562
13,2049,1,0,7186
13,2049,2,0,41248
13,2049,3,0,47681
13,2049,4,0,55446
13,2049,0,1,45030
13,2049,1,1,1290
13,2049,2,1,8140
13,2049,3,1,12135
13,2049,4,1,23466
13,2049,0,2,5348
13,2049,1,2,189
13,2049,2,2,3086
13,2049,3,2,1830
13,2049,4,2,244
13,2049,0,3,69009
13,2049,1,3,4984
13,2049,2,3,12080
13,2049,3,3,22277
13,2049,4,3,29667
13,2049,0,4,32175
13,2049,1,4,724
13,2049,2,4,17942
13,2049,3,4,11439
13,2049,4,4,2070
13,2050,0,0,151950
13,2050,1,0,7205
13,2050,2,0,40725
13,2050,3,0,47757
13,2050,4,0,56263
13,2050,0,1,45295
13,2050,1,1,1293
13,2050,2,1,8037
13,2050,3,1,12154
13,2050,4,1,23812
13,2050,0,2,5316
13,2050,1,2,189
13,2050,2,2,3047
13,2050,3,2,1833
13,2050,4,2,247
13,2050,0,3,69341
13,2050,1,3,4997
13,2050,2,3,11927
13,2050,3,3,22313
13,2050,4,3,30104
13,2050,0,4,31998
13,2050,1,4,726
13,2050,2,4,17714
13,2050,3,4,11457
13,2050,4,4,2101
14,2010,0,0,21498
14,2010,1,0,923
14,2010,2,0,8580
14,2010,3,0,8526
14,2010,4,0,3470
14,2010,0,1,6110
14,2010,1,1,270
14,2010,2,1,1898
14,2010,3,1,2382
14,2010,4,1,1560
14,2010,0,2,1167
14,2010,1,2,69
14,2010,2,2,787
14,2010,3,2,301
14,2010,4,2,10
14,2010,0,3,8175
14,2010,1,3,431
14,2010,2,3,1973
14,2010,3,3,3973
14,2010,4,3,1798
14,2010,0,4,6047
14,2010,1,4,152
14,2010,2,4,3921
14,2010,3,4,1870
14,2010,4,4,103
14,2011,0,0,22168
14,2011,1,0,931
14,2011,2,0,8702
14,2011,3,0,8820
14,2011,4,0,3716
14,2011,0,1,6275
14,2011,1,1,268
14,2011,2,1,1906
14,2011,3,1,2441
14,2011,4,1,1660
14,2011,0,2,1175
14,2011,1,2,66
14,2011,2,2,784
14,2011,3,2,314
14,2011,4,2,11
14,2011,0,3,8537
14,2011,1,3,445
14,2011,2,3,2050
14,2011,3,3,4110
14,2011,4,3,1932
14,2011,0,4,6181
14,2011,1,4,151
14,2011,2,4,3962
14,2011,3,4,1954
14,2011,4,4,113
14,2012,0,0,22927
14,2012,1,0,941
14,2012,2,0,8879
14,2012,3,0,9011
14,2012,4,0,4096
14,2012,0,1,6479
14,2012,1,1,267
14,2012,2,1,1924
14,2012,3,1,2470
14,2012,4,1,1818
14,2012,0,2,1184
14,2012,1,2,64
14,2012,2,2,784
14,2012,3,2,324
14,2012,4,2,13
14,2012,0,3,8940
14,2012,1,3,460
14,2012,2,3,2143
14,2012,3,3,4200
14,2012,4,3,2137
14,2012,0,4,6324
14,2012,1,4,151
14,2012,2,4,4028
14,2012,3,4,2017
14,2012,4,4,128
14,2013,0,0,23579
14,2013,1,0,952
14,2013,2,0,8960
14,2013,3,0,9225
14,2013,4,0,4441
14,2013,0,1,6649
14,2013,1,1,266
14,2013,2,1,1921
14,2013,3,1,2504
14,2013,4,1,1958
14,2013,0,2,1185
14,2013,1,2,61
14,2013,2,2,775
14,2013,3,2,335
14,2013,4,2,15
14,2013,0,3,9317
14,2013,1,3,476
14,2013,2,3,2215
14,2013,3,3,4301
14,2013,4,3,2325
14,2013,0,4,6428
14,2013,1,4,150
14,2013,2,4,4050
14,2013,3,4,2086
14,2013,4,4,143
14,2014,0,0,24409
14,2014,1,0,965
14,2014,2,0,9160
14,2014,3,0,9519
14,2014,4,0,4765
14,2014,0,1,6851
14,2014,1,1,264
14,2014,2,1,1942
14,2014,3,1,2558
14,2014,4,1,2088
14,2014,0,2,1198
14,2014,1,2,58
14,2014,2,2,775
14,2014,3,2,349
14,2014,4,2,17
14,2014,0,3,9755
14,2014,1,3,494
14,2014,2,3,2319
14,2014,3,3,4439
14,2014,4,3,2504
14,2014,0,4,6605
14,2014,1,4,149
14,2014,2,4,4125
14,2014,3,4,2174
14,2014,4,4,158
14,2015,0,0,25834
14,2015,1,0,1030
14,2015,2,0,9720
14,2015,3,0,9934
14,2015,4,0,5150
14,2015,0,1,7195
14,2015,1,1,277
14,2015,2,1,2036
14,2015,3,1,2642
14,2015,4,1,2241
14,2015,0,2,1248
14,2015,1,2,57
14,2015,2,2,805
14,2015,3,2,367
14,2015,4,2,19
14,2015,0,3,10408
14,2015,1,3,541
14,2015,2,3,2519
14,2015,3,3,4633
14,2015,4,3,2715
