place_fips,year,size_class,months_reported,buildings,units
0824950,2017,2-units,12,1,2
0824950,2017,3-4 units,12,36,144
0824950,2017,5+ units,12,1,5
0824950,2018,1-unit,12,579,579
0824950,2018,2-units,12,0,0
0824950,2018,3-4 units,12,4,13
0824950,2018,5+ units,12,11,63
0824950,2019,1-unit,12,572,572
0824950,2019,2-units,12,0,0
0824950,2019,3-4 units,12,0,0
0824950,2019,5+ units,12,0,0
0824950,2020,1-unit,8,479,479
0824950,2020,2-units,8,9,18
0824950,2020,3-4 units,8,2,8
0824950,2020,5+ units,8,1,5
0824950,2021,1-unit,12,652,652
0824950,2021,2-units,12,55,110
0824950,2021,3-4 units,12,12,42
0824950,2021,5+ units,12,9,278
0824950,2022,1-unit,12,619,619
0824950,2022,2-units,12,22,44
0824950,2022,3-4 units,12,6,19
0824950,2022,5+ units,12,9,225
0824950,2023,1-unit,8,679,679
0824950,2023,2-units,8,13,26
0824950,2023,3-4 units,8,2,6
0824950,2023,5+ units,8,4,61
0824950,2024,1-unit,11,883,883
0824950,2024,2-units,11,1,2
0824950,2024,3-4 units,11,1,3
0824950,2024,5+ units,11,1,5
0824950,2025,1-unit,12,108,108
0824950,2025,2-units,12,0,0
0824950,2025,3-4 units,12,0,0
0824950,2025,5+ units,12,1,64
0827425,2010,1-unit,12,180,180
0827425,2010,2-units,12,2,4
0827425,2010,3-4 units,12,5,17
0827425,2010,5+ units,12,3,45
0827425,2011,1-unit,12,258,258
0827425,2011,2-units,12,2,4
0827425,2011,3-4 units,12,3,10
0827425,2011,5+ units,12,26,442
0827425,2012,1-unit,12,470,470
0827425,2012,2-units,12,4,8
0827425,2012,3-4 units,12,4,13
0827425,2012,5+ units,12,24,653
0827425,2013,1-unit,12,612,612
0827425,2013,2-units,12,8,16
0827425,2013,3-4 units,12,6,23
0827425,2013,5+ units,12,25,740
0827425,2014,1-unit,12,742,742
0827425,2014,2-units,12,38,76
0827425,2014,3-4 units,12,3,11
0827425,2014,5+ units,12,18,323
0827425,2015,1-unit,12,512,512
0827425,2015,2-units,12,23,46
0827425,2015,3-4 units,12,4,13
0827425,2015,5+ units,12,21,405
0827425,2016,1-unit,12,488,488
0827425,2016,2-units,12,14,28
0827425,2016,3-4 units,12,4,13
0827425,2016,5+ units,12,64,1345
0827425,2017,1-unit,12,657,657
0827425,2017,2-units,12,5,10
0827425,2017,3-4 units,12,3,12
0827425,2017,5+ units,12,39,698
0827425,2018,1-unit,12,398,398
0827425,2018,2-units,12,9,18
0827425,2018,3-4 units,12,4,15
0827425,2018,5+ units,12,18,640
0827425,2019,1-unit,12,316,316
0827425,2019,2-units,12,3,6
0827425,2019,3-4 units,12,5,19
0827425,2019,5+ units,12,31,607
0827425,2020,1-unit,12,453,453
0827425,2020,2-units,12,1,2
0827425,2020,3-4 units,12,0,0
0827425,2020,5+ units,12,10,172
0827425,2021,1-unit,12,381,381
0827425,2021,2-units,12,0,0
0827425,2021,3-4 units,12,0,0
0827425,2021,5+ units,12,11,458
0827425,2022,1-unit,12,287,287
0827425,2022,2-units,12,3,6
0827425,2022,3-4 units,12,3,12
0827425,2022,5+ units,12,23,497
0827425,2023,1-unit,12,372,372
0827425,2023,2-units,12,0,0
0827425,2023,3-4 units,12,3,12
0827425,2023,5+ units,12,24,619
0827425,2024,1-unit,12,371,371
0827425,2024,2-units,12,2,4
0827425,2024,3-4 units,12,0,0
0827425,2024,5+ units,12,19,310
0827425,2025,1-unit,12,296,296
0827425,2025,2-units,12,3,6
0827425,2025,3-4 units,12,14,54
0827425,2025,5+ units,12,48,957
0841835,2010,1-unit,12,31,31
0841835,2010,2-units,12,2,4
0841835,2010,3-4 units,12,0,0
0841835,2010,5+ units,12,0,0
0841835,2011,1-unit,12,95,95
0841835,2011,2-units,12,12,24
0841835,2011,3-4 units,12,4,13
0841835,2011,5+ units,12,1,120
0841835,2012,1-unit,12,81,81
0841835,2012,2-units,12,16,32
0841835,2012,3-4 units,12,4,13
0841835,2012,5+ units,12,10,240
0841835,2013,1-unit,12,100,100
0841835,2013,2-units,12,25,50
0841835,2013,3-4 units,12,7,27
0841835,2013,5+ units,12,4,24
0841835,2014,1-unit,1,104,104
0841835,2014,2-units,1,23,46
0841835,2014,3-4 units,1,7,23
0841835,2014,5+ units,1,7,36
0841835,2015,1-unit,0,123,123
0841835,2015,2-units,0,28,56
0841835,2015,3-4 units,0,8,26
0841835,2015,5+ units,0,10,51
0841835,2016,1-unit,6,166,166
0841835,2016,2-units,6,14,28
0841835,2016,3-4 units,6,5,18
0841835,2016,5+ units,6,6,31
0841835,2017,1-unit,11,193,193
0841835,2017,2-units,11,1,2
0841835,2017,3-4 units,11,1,3
0841835,2017,5+ units,11,4,73
0841835,2018,1-unit,9,165,165
0841835,2018,2-units,9,3,6
0841835,2018,3-4 units,9,2,6
0841835,2018,5+ units,9,32,792
0841835,2019,1-unit,12,97,97
0841835,2019,2-units,12,0,0
0841835,2019,3-4 units,12,0,0
0841835,2019,5+ units,12,3,81
0841835,2020,1-unit,9,92,92
0841835,2020,2-units,9,5,10
0841835,2020,3-4 units,9,0,0
0841835,2020,5+ units,9,4,154
0841835,2021,1-unit,12,59,59
0841835,2021,2-units,12,4,8
0841835,2021,3-4 units,12,3,9
0841835,2021,5+ units,12,0,0
0841835,2022,1-unit,12,53,53
0841835,2022,2-units,12,4,8
0841835,2022,3-4 units,12,12,38
0841835,2022,5+ units,12,3,27
0841835,2023,1-unit,12,35,35
0841835,2023,2-units,12,2,4
0841835,2023,3-4 units,12,5,19
0841835,2023,5+ units,12,2,12
0841835,2024,1-unit,12,9,9
0841835,2024,2-units,12,0,0
0841835,2024,3-4 units,12,0,0
0841835,2024,5+ units,12,0,0
0841835,2025,1-unit,12,15,15
0841835,2025,2-units,12,0,0
0841835,2025,3-4 units,12,0,0
0841835,2025,5+ units,12,0,0
0845970,2010,1-unit,12,71,71
0845970,2010,2-units,12,1,2
0845970,2010,3-4 units,12,3,10
0845970,2010,5+ units,12,4,27
0845970,2011,1-unit,12,56,56
0845970,2011,2-units,12,0,0
0845970,2011,3-4 units,12,2,8
0845970,2011,5+ units,12,1,50
0845970,2012,1-unit,12,154,154
0845970,2012,2-units,12,0,0
0845970,2012,3-4 units,12,2,8
0845970,2012,5+ units,12,1,115
0845970,2013,1-unit,12,191,191
0845970,2013,2-units,12,0,0
0845970,2013,3-4 units,12,0,0
0845970,2013,5+ units,12,3,54
0845970,2014,1-unit,12,209,209
0845970,2014,2-units,12,0,0
0845970,2014,3-4 units,12,0,0
0845970,2014,5+ units,12,11,202
0845970,2015,1-unit,12,307,307
0845970,2015,2-units,12,0,0
0845970,2015,3-4 units,12,0,0
0845970,2015,5+ units,12,5,104
0845970,2016,1-unit,12,302,302
0845970,2016,2-units,12,0,0
0845970,2016,3-4 units,12,0,0
0845970,2016,5+ units,12,48,815
0845970,2017,1-unit,12,358,358
0845970,2017,2-units,12,0,0
0845970,2017,3-4 units,12,0,0
0845970,2017,5+ units,12,39,646
0845970,2018,1-unit,12,499,499
0845970,2018,2-units,12,0,0
0845970,2018,3-4 units,12,3,12
0845970,2018,5+ units,12,30,556
0845970,2019,1-unit,12,427,427
0845970,2019,2-units,12,0,0
0845970,2019,3-4 units,12,0,0
0845970,2019,5+ units,12,23,539
0845970,2020,1-unit,12,309,309
0845970,2020,2-units,12,0,0
0845970,2020,3-4 units,12,0,0
0845970,2020,5+ units,12,18,546
0845970,2021,1-unit,12,133,133
0845970,2021,2-units,12,0,0
0845970,2021,3-4 units,12,0,0
0845970,2021,5+ units,12,10,488
0845970,2022,1-unit,12,252,252
0845970,2022,2-units,12,0,0
0845970,2022,3-4 units,12,0,0
0845970,2022,5+ units,12,27,528
0845970,2023,1-unit,12,303,303
0845970,2023,2-units,12,1,2
0845970,2023,3-4 units,12,0,0
0845970,2023,5+ units,12,29,531
0845970,2024,1-unit,12,138,138
0845970,2024,2-units,12,11,22
0845970,2024,3-4 units,12,5,19
0845970,2024,5+ units,12,28,769
0845970,2025,1-unit,9,201,201
0845970,2025,2-units,9,9,18
0845970,2025,3-4 units,9,3,11
