year,district_code,district_name,county_name,unit_type,teacher_fte_published,teacher_fte_school_sum,teacher_fte_difference,staff_certificated_fte,staff_noncertificated_fte,pupil_teacher_ratio,schools_published,schools_elementary,schools_middle,schools_senior,schools_other,schools_in_sum,enrollment_published,enrollment_school_sum,graduation_rate,dropout_rate,source
1987,2560,CHERAW 31,OTERO,district,16.0,,,17.0,6.9,11.6,3,1,1,1,0,,186,,,0.0,yearbook-1987-summary
1987,2570,SWINK 33,OTERO,district,24.2,,,28.2,12.1,13.3,2,1,0,1,0,,321,,,0.0,yearbook-1987-summary
1987,2580,OURAY R-1,OURAY,district,15.7,,,17.7,3.0,10.9,2,1,0,1,0,,171,,,0.0,yearbook-1987-summary
1987,2590,RIDGWAY R-2,OURAY,district,17.0,,,21.0,11.5,12.6,2,1,0,1,0,,215,,,0.0,yearbook-1987-summary
1987,2600,PLATTE CANYON 1,PARK,district,52.0,,,62.0,34.7,21.0,3,1,1,1,0,,1091,,,1.5,yearbook-1987-summary
1987,2610,PARK COUNTY RE-2,PARK,district,32.5,,,38.5,22.6,11.4,4,3,0,1,0,,372,,,1.3,yearbook-1987-summary
1987,2620,HOLYOKE RE-1J,PHILLIPS,district,40.7,,,45.7,16.7,13.0,2,1,0,1,0,,529,,,0.0,yearbook-1987-summary
1987,2630,HAXTUN RE-2J,PHILLIPS,district,22.6,,,26.6,14.6,12.0,2,1,0,1,0,,272,,,0.0,yearbook-1987-summary
1987,2640,ASPEN 1,PITKIN,district,76.4,,,85.2,33.2,13.1,3,1,1,1,0,,1000,,,3.4,yearbook-1987-summary
1987,2650,GRANADA RE-1,PROWERS,district,21.0,,,24.0,10.1,12.5,2,1,0,1,0,,262,,,3.4,yearbook-1987-summary
1987,2660,LAMAR RE-2,PROWERS,district,118.0,,,134.0,63.7,18.1,6,4,1,1,0,,2132,,,7.6,yearbook-1987-summary
1987,2670,HOLLY RE-3,PROWERS,district,28.0,,,31.0,21.7,13.1,2,1,0,1,0,,366,,,4.8,yearbook-1987-summary
1987,2680,WILEY RE-13 JT,PROWERS,district,21.0,,,23.0,13.4,14.5,2,1,0,1,0,,305,,,5.6,yearbook-1987-summary
1987,2690,PUEBLO CITY 60,PUEBLO,district,973.8,,,1152.8,607.8,19.2,34,23,6,4,1,,18692,,,5.3,yearbook-1987-summary
1987,2700,PUEBLO COUNTY RURAL 70,PUEBLO,district,227.5,,,266.5,161.9,18.6,17,9,6,2,0,,4230,,,4.4,yearbook-1987-summary
1987,2710,MEEKER RE1,RIO BLANCO,district,41.6,,,47.6,33.3,18.0,4,2,1,1,0,,748,,,0.0,yearbook-1987-summary
1987,2720,RANGELY RE-4,RIO BLANCO,district,59.5,,,70.5,30.3,12.1,3,1,1,1,0,,718,,,3.3,yearbook-1987-summary
1987,2730,DEL NORTE C-7,RIO GRANDE,district,45.0,,,51.5,34.4,16.9,4,2,1,1,0,,761,,,1.2,yearbook-1987-summary
1987,2740,MONTE VISTA C-8,RIO GRANDE,district,82.8,,,94.1,43.7,16.8,4,1,1,1,1,,1389,,,8.2,yearbook-1987-summary
1987,2750,SARGENT RE-33J,RIO GRANDE,district,33.8,,,37.8,14.6,13.3,2,1,0,1,0,,448,,,4.0,yearbook-1987-summary
1987,2760,HAYDEN RE-1,ROUTT,district,39.0,,,47.0,20.8,11.4,3,1,1,1,0,,444,,,3.3,yearbook-1987-summary
1987,2770,STEAMBOAT SPRINGS RE-2,ROUTT,district,98.6,,,115.6,41.3,15.4,4,2,1,1,0,,1520,,,3.1,yearbook-1987-summary
1987,2790,MOUNTAIN VALLEY RE 1,SAGUACHE,district,19.0,,,21.0,11.6,9.6,2,1,0,1,0,,182,,,2.4,yearbook-1987-summary
1987,2800,MOFFAT 2,SAGUACHE,district,13.3,,,17.3,8.1,9.3,2,1,0,1,0,,124,,,6.7,yearbook-1987-summary
1987,2810,CENTER 26 JT.,SAGUACHE,district,41.0,,,47.0,23.6,14.7,3,1,1,1,0,,602,,,8.3,yearbook-1987-summary
1987,2820,SILVERTON 1,SAN JUAN,district,17.0,,,20.0,3.0,11.1,2,1,0,1,0,,188,,,0.0,yearbook-1987-summary
1987,2830,TELLURIDE R-1,SAN MIGUEL,district,26.2,,,35.2,11.0,9.7,3,1,1,1,0,,253,,,1.4,yearbook-1987-summary
1987,2840,NORWOOD R-2J,SAN MIGUEL,district,25.0,,,28.0,12.1,11.8,3,2,0,1,0,,295,,,5.9,yearbook-1987-summary
1987,2862,JULESBURG RE-1,SEDGWICK,district,27.6,,,31.6,12.3,12.9,2,1,0,1,0,,355,,,6.3,yearbook-1987-summary
1987,2865,PLATTE VALLEY RE-3,SEDGWICK,district,18.8,,,22.8,11.0,9.1,2,1,0,1,0,,171,,,2.4,yearbook-1987-summary
1987,3000,SUMMIT RE-1,SUMMIT,district,92.6,,,113.8,63.0,16.2,6,4,1,1,0,,1503,,,5.6,yearbook-1987-summary
1987,3020,WOODLAND PARK RE-2,TELLER,district,106.5,,,123.5,71.7,20.6,4,1,2,1,0,,2199,,,5.2,yearbook-1987-summary
1987,3030,AKRON R-1,WASHINGTON,district,32.0,,,37.0,14.7,14.3,2,1,0,1,0,,459,,,2.7,yearbook-1987-summary
1987,3040,ARICKAREE R-2,WASHINGTON,district,18.0,,,20.0,10.5,7.8,2,1,0,1,0,,141,,,0.0,yearbook-1987-summary
1987,3050,OTIS R-3,WASHINGTON,district,19.2,,,21.0,11.8,11.0,2,1,0,1,0,,212,,,4.2,yearbook-1987-summary
1987,3060,LONE STAR 101,WASHINGTON,district,7.9,,,8.9,6.0,7.2,2,1,0,1,0,,57,,,0.0,yearbook-1987-summary
1987,3070,WOODLIN R-104,WASHINGTON,district,13.0,,,15.3,10.7,8.2,2,1,0,1,0,,107,,,0.0,yearbook-1987-summary
1987,3085,EATON RE-2,WELD,district,64.8,,,77.6,37.2,17.7,4,2,1,1,0,,1147,,,4.0,yearbook-1987-summary
1987,3090,KEENESBURG RE-3(J),WELD,district,65.1,,,75.1,35.3,18.0,4,3,0,1,0,,1169,,,4.3,yearbook-1987-summary
1987,3100,WINDSOR RE-4,WELD,district,104.4,,,123.4,55.0,15.5,5,3,1,1,0,,1613,,,3.0,yearbook-1987-summary
1987,3110,JOHNSTOWN-MILLIKEN RE-5J,WELD,district,63.0,,,75.0,39.5,19.1,4,2,1,1,0,,1203,,,13.5,yearbook-1987-summary
1987,3120,GREELEY 6,WELD,district,596.5,,,711.5,450.6,19.0,21,11,6,2,2,,11309,,,8.2,yearbook-1987-summary
1987,3130,PLATTE VALLEY RE-7,WELD,district,48.5,,,56.5,27.0,17.2,2,1,0,1,0,,836,,,3.5,yearbook-1987-summary
1987,3145,AULT-HIGHLAND RE-9,WELD,district,46.0,,,54.0,30.0,16.5,2,1,0,1,0,,758,,,3.4,yearbook-1987-summary
1988,,ADAMS COUNTY BOCES,COLORADO BOCS,boces,1.8,,,2.8,0.0,0.0,0,0,0,0,0,,0,,,0.0,yearbook-1988-summary
1988,,ARCHULETA COUNTY,ARCHULETA,district,61.5,,,70.5,44.9,16.7,3,,1,1,1,,1030,,,6.7,yearbook-1988-summary
1988,,ARKANSAS VALLEY BOCS,COLORADO BOCS,boces,0.5,,,7.5,0.0,0.0,0,0,0,0,0,,0,,,0.0,yearbook-1988-summary
1988,,BIG SANDY 100(J),ELBERT,district,19.3,,,24.3,12.2,13.7,3,1,1,1,0,,264,,,0.0,yearbook-1988-summary
1988,,BOULDER VALLEY RE 2(J),BOULDER,district,1142.3,,,1374.3,998.1,18.2,42,26,9,5,2,,20825,,,5.5,yearbook-1988-summary
1988,,BRIGGSDALE RE-10(J),WELD,district,11.8,,,13.1,6.2,7.2,2,1,0,1,0,,85,,,0.0,yearbook-1988-summary
