ncessch,school_codes,names,district_codes,first_year,last_year,closure_label,closure_confidence,closure_evidence,latitude,longitude
080453001442,3808,HARRISON SECOND CHANCE;NEW HORIZONS SCHOOL;NEW HORIZONS EVENING SCHOOL,0980,1987,2006,closed,high,CCD school_status=2,38.796,-104.795
080453001443,8923,TURMAN ELEM SCHOOL;TURMAN ELEMENTARY SCHOOL;Turman Elementary School,0980,1987,2024,still_open,high,reported in 2024,38.7854,-104.7506
080453001484,6578,OTERO ELEM SCHOOL;OTERO ELEMENTARY SCHOOL;Otero Elementary School,0980,1988,2024,still_open,high,reported in 2024,38.7705,-104.8063
080453001533,7611,SAND CREEK ELEMENTARY SCHOOL;SAND CREEK INTERNATIONAL ELEMENTARY SCHOOL;Sand Creek International Elementary School;Sand Creek International School,0980,1996,2024,still_open,high,reported in 2024,38.8242,-104.7405
080453001640,6244,NEW HORIZONS DAY SCHOOL,0980,1998,2012,closed,high,CCD school_status=2,38.79408,-104.793561
080453001681,2090,CYCC ALTERNATIVE SCHOOL,,1999,2000,closed,high,CCD school_status=2,,
080453001682,8940,TUTMOSE ACADEMY CHARTER SCHOOL;SHIVERS ACADEMY CHARTER SCHOOL,0980,1999,2008,closed,high,CCD school_status=2,38.8253,-104.7819
080453001754,0029,ADULT & FAMILY LITERACY,0980,2000,2011,closed,high,CCD school_status=2,38.795765,-104.795181
080453001781,4378,JAMES IRWIN CHARTER HIGH SCHOO;JAMES IRWIN CHARTER HIGH SCHOOL;James Irwin Charter High School,0980,2000,2024,still_open,high,reported in 2024,38.79728,-104.728431
080453001902,4380,JAMES IRWIN CHARTER ELEMENTARY SCHOOL;James Irwin Charter Elementary School;James Irwin Elementary School - Astrozon,0980,2005,2024,still_open,high,reported in 2024,38.79728,-104.728431
080453001903,6162,MOUNTAIN VISTA COMMUNITY SCHOOL;Mountain Vista Community School,0980,2005,2024,still_open,high,reported in 2024,38.8124,-104.7816
080453001964,4379,JAMES IRWIN CHARTER MIDDLE SCHOOL;James Irwin Charter Middle School,0980,2003,2024,still_open,high,reported in 2024,38.79728,-104.728431
080453001965,8034,SOARING EAGLES ELEMENTARY SCHOOL;Soaring Eagles Elementary School;Soaring Eagles Community School,0980,2003,2024,still_open,high,reported in 2024,38.7852,-104.7376
080453006342,9804,SPRING CREEK YOUTH SERVICES CENTER;Spring Creek Youth Services Center,,2014,2019,renamed,low,another school carries the same name,38.786782,-104.774295
080453006370,9057,The Vanguard School (High),0980,2021,2024,still_open,high,reported in 2024,38.81127,-104.815873
080453006402,9051,The Vanguard School (Middle),0980,2021,2024,still_open,high,reported in 2024,38.81127,-104.815873
080453006425,0469,ATLAS PREPATORY SCHOOL;ATLAS PREPARATORY SCHOOL;ATLAS PREPARATORY HIGH SCHOOL;Atlas Preparatory High School,0980,2008,2024,still_open,high,reported in 2024,38.81201,-104.754588
080453006535,3870,HIGH SCHOOL PREPARATORY ACADEMY;CAREER READINESS ACADEMY;Career Readiness Academy,0980,2011,2024,still_open,high,reported in 2024,38.772621,-104.798016
080453006663,5763,MOUNTAIN VISTA HOMESCHOOL ACADEMY;Mountain Vista Homeschool Academy;Thrive Home School Academy,0980,2015,2024,still_open,high,reported in 2024,38.798143,-104.809392
