year,county_name,district_code,district_name,school_code,school_name,grade,enrollment,source
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,6,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,7,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,8,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,9,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,K,7,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P258,LITTLE VILLAGE CHRISTIAN PRESC,PK,83,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,1,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,10,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,11,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,12,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,2,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,3,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,4,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,5,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,6,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,7,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,8,0,nonpublic-2003-ed59017200346internet.xls
2003,ADAMS,0020,NORTHGLENN-THORNTON 12,P260,NORTHGLENN UNITED METHODIST CH,9,0,nonpublic-2003-ed59017200346internet.xls
