year,ncessch,school_code,district_code,school_name,district_name,enrollment_total_cde,enrollment_total_ccd,teacher_fte_cde,teacher_fte_ccd,enrollment_reported_in_fte_file,latitude,longitude,is_charter,status
1986,080612001033,0954,,BRADFORD ELEM SCHOOL,PUEBLO CITY SCH DIST 60,,334,,21.0,,38.2677,-104.5895,,1
1986,080336000317,0964,,BRADLEY ELEM SCHOOL,DENVER SCH DIST 1,,275,,18.0,,39.6634,-104.9298,,1
1986,080252000140,0974,,BRANSON ELEM SCHOOL,BRANSON REORGANIZED S D 82,,18,,3.0,,37.019016,-103.883141,,1
1986,080252000141,0978,,BRANSON UND. HIGH SCHOOL,BRANSON REORGANIZED S D 82,,34,,5.0,,37.019067,-103.882854,,1
1986,080441000634,0988,,BRENTWOOD MIDDLE SCHOOL,GREELEY SCH DIST 6,,374,,18.0,,40.395568,-104.720898,,1
1986,080453001314,1000,,BRICKER ELEM SCHOOL,HARRISON SCH DIST 2,,687,,29.0,,38.8009,-104.7368,,1
1986,080255000142,1008,,BRIGGSDALE ELEM SCHOOL,BRIGGSDALE SCH DIST RE-10(J),,43,,2.0,,40.6335,-104.3244,,1
1986,080255000143,1012,,BRIGGSDALE UND. HIGH SCHOOL,BRIGGSDALE SCH DIST RE-10(J),,42,,5.0,,40.6335,-104.3244,,1
1986,080258001327,1020,,BRIGHTON ALTERNATIVE SCHOOL,BRIGHTON SCH DIST 27J,,38,,2.0,,,,,1
1986,080258000144,1022,,BRIGHTON HIGH SCHOOL,BRIGHTON SCH DIST 27J,,1234,,65.0,,39.9812,-104.8119,,1
1986,080306000224,1032,,BRISTOL ELEM SCHOOL,COLORADO SPRINGS SCH DIST 11,,298,,16.0,,38.8461,-104.8343,,1
1986,080435000599,1046,,BROADWAY ELEM SCHOOL,MESA VALLEY SCH DIST 51,,305,,14.0,,39.081,-108.6366,,1
1986,080336000318,1056,,BROMWELL ELEM SCHOOL,DENVER SCH DIST 1,,293,,14.0,,39.7222,-104.957,,1
1986,080249000102,1066,,BROOMFIELD HEIGHTS MIDDLE SCH,BOULDER VALLEY SCH DIST RE-2J,,720,,41.0,,39.9376,-105.0779,,1
1986,080249000103,1070,,BROOMFIELD HIGH SCHOOL,BOULDER VALLEY SCH DIST RE-2J,,1147,,48.0,,39.93,-105.075,,1
1986,080336000319,1076,,BROWN ELEM SCHOOL,DENVER SCH DIST 1,,562,,29.0,,39.7545,-105.0342,,1
1986,080573000976,1086,,BROWNS PARK ELEM SCHOOL,MOFFAT COUNTY SCH DIST RE-1,,2,,1.0,,,,,1
1986,080261000153,1094,,BRUSH JR HIGH SCHOOL,BRUSH SCH DIST RE-2(J),,159,,11.0,,40.259599,-103.637663,,1
1986,080261000154,1096,,BRUSH HIGH SCHOOL,BRUSH SCH DIST RE-2(J),,396,,24.0,,40.259599,-103.637663,,1
1986,080336000320,1106,,BRYANT-WEBSTER ELEM SCHOOL,DENVER SCH DIST 1,,614,,31.0,,39.7674,-105.0084,,1
1986,080306000225,1126,,BUENA VISTA ELEM SCHOOL,COLORADO SPRINGS SCH DIST 11,,355,,19.0,,38.8357,-104.8399,,1
1986,080264000157,1130,,BUENA VISTA HIGH SCHOOL,BUENA VISTA SCH DIST R-31,,330,,20.0,,38.836426,-106.126868,,1
1986,080264000158,1132,,HARRY L. MCGINNIS MIDDLE SCH,BUENA VISTA SCH DIST R-31,,196,,12.0,,38.837073,-106.127314,,1
1986,080249000104,1136,,BURBANK JR. HIGH SCHOOL,BOULDER VALLEY SCH DIST RE-2J,,363,,16.0,,39.9941,-105.2288,,1
1986,080267000160,1144,,BURLINGTON ELEM SCHOOL,BURLINGTON SCH DIST RE-6J,,369,,18.0,,39.3054,-102.2633,,1
1986,080537000896,1148,,BURLINGTON ELEM SCHOOL,ST VRAIN VALLEY SCH DIST RE-1J,,503,,24.0,,40.1464,-105.1081,,1
1986,080267000161,1150,,BURLINGTON MIDDLE SCHOOL,BURLINGTON SCH DIST RE-6J,,227,,16.0,,39.3019,-102.2837,,1
1986,080267000162,1152,,BURLINGTON HIGH SCHOOL,BURLINGTON SCH DIST RE-6J,,277,,20.0,,39.2966,-102.272,,1
1986,080270000163,1168,,BYERS ELEM SCHOOL,BYERS SCH DIST 32J,,222,,12.0,,39.707721,-104.217401,,1
1986,080270000164,1176,,BYERS HIGH SCHOOL,BYERS SCH DIST 32J,,112,,9.0,,39.707721,-104.217401,,1
1986,080399000525,1186,,CACHE LA POUDRE ELEM SCHOOL,POUDRE SCH DIST R-1,,542,,25.0,,40.6266,-105.143,,1
1986,080399000524,1190,,CACHE LA POUDRE JR.HIGH SCHOOL,POUDRE SCH DIST R-1,,366,,23.0,,40.6268,-105.1441,,1
1986,089924000167,1210,,CALHAN ELEM SCHOOL,PIKES PEAK BOCS,,,,1.0,,,,,1
1986,080273000168,1218,,CALHAN HIGH SCHOOL,CALHAN SCH DIST RJ-1,,121,,12.0,,39.033117,-104.295258,,1
1986,080669001361,1220,,CALICHE ELEM SCHOOL,VALLEY SCH DIST RE-1,,165,,12.0,,40.8238,-102.9593,,1
1986,080669001147,1224,,CALICHE JR-SR HIGH SCHOOL,VALLEY SCH DIST RE-1,,160,,15.0,,40.8238,-102.9593,,1
1986,080441000635,1228,,CAMERON ELEM SCHOOL,GREELEY SCH DIST 6,,462,,20.0,,40.416731,-104.699841,,1
1986,080480000702,1238,,CAMPBELL ELEM SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,386,,20.0,,39.815875,-105.11816,,1
1986,080669001148,1243,,CAMPBELL ELEM SCHOOL,VALLEY SCH DIST RE-1,,322,,19.0,,40.62911,-103.2235,,1
1986,089940000169,1248,,CAMPO ELEM SCHOOL,SOUTHEASTERN BOCS,,,,,,,,,1
1986,080276000170,1252,,CAMPO UND. HIGH SCHOOL,CAMPO SCH DIST RE-6,,36,,4.0,,37.10466,-102.57623,,1
1986,080279000171,1262,,CANON CITY JR. HIGH SCHOOL,FREMONT SCH DIST RE-1,,767,,41.0,,38.445476,-105.231325,,1
1986,080279000172,1266,,CANON CITY HIGH SCHOOL,FREMONT SCH DIST RE-1,,870,,44.0,,38.4509,-105.2335,,1
1986,080510000842,1276,,CENTAURI JR. HIGH SCHOOL,NORTH CONEJOS SCH DIST RE-1J,,167,,10.0,,37.24909,-105.969169,,1
1986,080426000585,1294,,CARBONDALE ELEM SCHOOL,ROARING FORK SCH DIST RE-1(J),,421,,18.0,,39.39592,-107.2098,,1
1986,080426000586,1296,,CARBONDALE MIDDLE SCHOOL,ROARING FORK SCH DIST RE-1(J),,260,,15.0,,39.392299,-107.207102,,1
1986,080612001034,1304,,CARLILE ELEM SCHOOL,PUEBLO CITY SCH DIST 60,,387,,21.0,,38.245459,-104.630796,,1
1986,080453000662,1306,,CARMEL MIDDLE SCHOOL,HARRISON SCH DIST 2,,658,,36.0,,38.807622,-104.765571,,1
1986,080480000703,1318,,CARMODY JR. HIGH SCHOOL,JEFFERSON COUNTY SCH DIST R-1,,951,,44.0,,39.6796,-105.1087,,1
1986,080336000322,1319,,CAREER EDUCATION CENTER,DENVER SCH DIST 1,,33,,46.0,,39.7553,-105.0227,,1
1986,080723001231,1320,,CAREER ENRICHMENT PARK N.MALL,WESTMINISTER SCH DIST 50,,,,28.0,,39.829494,-105.03442,,1
1986,080723001230,1322,,CAREER ENRICHMENT PARK S.MALL,WESTMINISTER SCH DIST 50,,146,,11.0,,39.827321,-105.031207,,1
