year,school_year,district_code,district_name,county_name,unit_type,fall_membership,membership_definition,fall_membership_k12,closing_day_membership,average_daily_membership,adae,source
1977,1977-78,1180,ROARING FORK RE-1(J),Garfield,district,3275.0,printed_total,,3188.0,3146.5,2998.1,yearbook-1986-table4
1977,1977-78,2530,ROCKY FORD R-2,Otero,district,1634.0,printed_total,,1627.0,1589.2,1523.8,yearbook-1986-table4
1977,1977-78,0500,SALIDA R-32(J),Chaffee,district,1510.0,printed_total,,1476.0,1449.1,1391.1,yearbook-1986-table4
1977,1977-78,0560,SANFORD 6J,Conejos,district,336.0,printed_total,,334.0,337.0,322.1,yearbook-1986-table4
1977,1977-78,0110,SANGRE DE CRISTO RE-22J,Alamosa,district,260.0,printed_total,,263.0,266.1,255.5,yearbook-1986-table4
1977,1977-78,2750,SARGENT RE-33J,Rio Grande,district,428.0,printed_total,,401.0,404.8,388.1,yearbook-1986-table4
1977,1977-78,0123,SHERIDAN 2,Arapahoe,district,1755.0,printed_total,,1693.0,1788.0,1721.2,yearbook-1986-table4
1977,1977-78,0740,SIERRA GRANDE R-30,Costilla,district,282.0,printed_total,,254.0,293.0,281.3,yearbook-1986-table4
1977,1977-78,2820,SILVERTON 1,San Juan,district,173.0,printed_total,,165.0,175.9,168.9,yearbook-1986-table4
1977,1977-78,0580,SOUTH CONEJOS RE-10,Conejos,district,760.0,printed_total,,727.0,766.8,750.0,yearbook-1986-table4
1977,1977-78,2780,SOUTH ROUTT RE 3(J),Routt,district,483.0,printed_total,,451.0,458.6,441.7,yearbook-1986-table4
1977,1977-78,0250,SPRINGFIELD RE-4,Baca,district,528.0,printed_total,,503.0,536.8,506.7,yearbook-1986-table4
1977,1977-78,0470,ST. VRAIN VALLEY RE 1J,Boulder,district,14806.0,printed_total,,14601.0,14369.1,13787.3,yearbook-1986-table4
1977,1977-78,2770,STEAMBOAT SPRINGS RE-2,Routt,district,1418.0,printed_total,,1377.0,1366.9,1312.2,yearbook-1986-table4
1977,1977-78,0060,STRASBURG 31J,Adams,district,422.0,printed_total,,402.0,406.4,392.1,yearbook-1986-table4
1977,1977-78,1480,STRATTON R-4,Kit Carson,district,268.0,printed_total,,255.0,258.9,248.5,yearbook-1986-table4
1977,1977-78,3000,SUMMIT RE-1,Summit,district,1207.0,printed_total,,1177.0,1164.8,1118.2,yearbook-1986-table4
1977,1977-78,2570,SWINK 33,Otero,district,355.0,printed_total,,349.0,344.6,336.5,yearbook-1986-table4
1977,1977-78,2830,TELLURIDE R-1,San Miguel,district,235.0,printed_total,,225.0,232.1,222.8,yearbook-1986-table4
1977,1977-78,1560,THOMPSON R-2J,Larimer,district,9542.0,printed_total,,9540.0,9285.3,8875.8,yearbook-1986-table4
1977,1977-78,1580,TRINIDAD 1,Las Animas,district,1947.0,printed_total,,1819.0,1983.4,1904.1,yearbook-1986-table4
1977,1977-78,1828,VALLEY RE-1,Logan,district,3552.0,printed_total,,3428.0,3570.7,3427.9,yearbook-1986-table4
1977,1977-78,0260,VILAS RE-5,Baca,district,94.0,printed_total,,99.0,95.0,92.7,yearbook-1986-table4
1977,1977-78,,VONA R-3,Kit Carson,district,85.0,printed_total,,76.0,51.0,49.0,yearbook-1986-table4
1977,1977-78,0230,WALSH RE-1,Baca,district,436.0,printed_total,,412.0,422.6,417.1,yearbook-1986-table4
1977,1977-78,2505,WELDON VALLEY RE-20(J),Morgan,district,177.0,printed_total,,181.0,175.0,168.2,yearbook-1986-table4
1977,1977-78,2190,WEST END RE-2,Montrose,district,885.0,printed_total,,873.0,848.3,816.9,yearbook-1986-table4
1977,1977-78,1340,WEST GRAND 1(JT),Grand,district,454.0,printed_total,,444.0,441.5,423.8,yearbook-1986-table4
1977,1977-78,0070,WESTMINSTER 50,Adams,district,14871.0,printed_total,,14500.0,14465.6,13880.9,yearbook-1986-table4
1977,1977-78,0990,WIDEFIELD 3,El Paso,district,7381.0,printed_total,,7156.0,7209.1,6882.3,yearbook-1986-table4
1977,1977-78,2515,WIGGINS RE-50(J),Morgan,district,493.0,printed_total,,463.0,478.9,459.7,yearbook-1986-table4
1977,1977-78,2680,WILEY RE-13 JT,Prowers,district,252.0,printed_total,,265.0,248.3,241.1,yearbook-1986-table4
1977,1977-78,3100,WINDSOR RE-4,Weld,district,1244.0,printed_total,,1264.0,1217.5,1168.8,yearbook-1986-table4
1977,1977-78,3020,WOODLAND PARK RE-2,Teller,district,1430.0,printed_total,,1453.0,1327.6,1275.5,yearbook-1986-table4
1977,1977-78,3070,WOODLIN 104,Washington,district,137.0,printed_total,,149.0,138.0,137.9,yearbook-1986-table4
1978,1978-79,1040,ACADEMY 20,El Paso,district,4969.0,printed_total,,5017.0,4834.6,4641.2,yearbook-1986-table4
1978,1978-79,0030,ADAMS COUNTY 14,Adams,district,6101.0,printed_total,,5968.0,5953.3,5715.2,yearbook-1986-table4
1978,1978-79,0180,ADAMS-ARAPAHOE 28J,Arapahoe,district,21797.0,printed_total,,20963.0,21206.1,20357.9,yearbook-1986-table4
1978,1978-79,0960,AGATE 300,Elbert,district,39.0,printed_total,,56.0,42.6,41.2,yearbook-1986-table4
1978,1978-79,1620,AGUILAR REORGANIZED 6,Las Animas,district,221.0,printed_total,,213.0,219.2,210.4,yearbook-1986-table4
1978,1978-79,3030,AKRON R-1,Washington,district,516.0,printed_total,,523.0,499.5,479.5,yearbook-1986-table4
1978,1978-79,0100,ALAMOSA RE-11J,Alamosa,district,2289.0,printed_total,,2241.0,2204.7,2116.5,yearbook-1986-table4
1978,1978-79,,ARAPAHOE R-3*,Cheyenne,district,63.0,printed_total,,63.0,61.0,60.5,yearbook-1986-table4
1978,1978-79,0220,ARCHULETA COUNTY 50 JT,Archuleta,district,918.0,printed_total,,908.0,931.6,894.3,yearbook-1986-table4
1978,1978-79,3040,ARICKAREE R-2,Washington,district,149.0,printed_total,,149.0,147.9,144.0,yearbook-1986-table4
1978,1978-79,,ARRIBA RE 31*,Lincoln,district,62.0,printed_total,,62.0,59.5,59.0,yearbook-1986-table4
1978,1978-79,1450,ARRIBA-FLAGLER C-20*,Kit Carson,district,191.0,printed_total,,190.0,179.6,174.3,yearbook-1986-table4
1978,1978-79,2640,ASPEN 1,Pitkin,district,1108.0,printed_total,,1047.0,1076.7,1033.6,yearbook-1986-table4
1978,1978-79,3145,AULT-HIGHLAND RE-9,Weld,district,851.0,printed_total,,835.0,850.8,816.8,yearbook-1986-table4
1978,1978-79,1530,BAYFIELD 10 JT-R,La Plata,district,516.0,printed_total,,488.0,539.5,517.9,yearbook-1986-table4
1978,1978-79,0050,BENNETT 29J,Adams,district,494.0,printed_total,,513.0,485.8,462.0,yearbook-1986-table4
1978,1978-79,1490,BETHUNE R-5,Kit Carson,district,126.0,printed_total,,131.0,121.8,116.9,yearbook-1986-table4
1978,1978-79,0940,BIG SANDY 100(J),Elbert,district,278.0,printed_total,,286.0,273.1,262.2,yearbook-1986-table4
1978,1978-79,0480,BOULDER VALLEY RE 2(J),Boulder,district,22191.0,printed_total,,21957.0,21621.1,20732.9,yearbook-1986-table4
1978,1978-79,1750,BRANSON REORGANIZED 82,Las Animas,district,69.0,printed_total,,63.0,63.4,63.3,yearbook-1986-table4
1978,1978-79,0040,BRIGHTON 27J,Adams,district,4188.0,printed_total,,4114.0,4058.2,3895.9,yearbook-1986-table4
1978,1978-79,2395,BRUSH RE-2(J),Morgan,district,1483.0,printed_total,,1426.0,1434.5,1377.1,yearbook-1986-table4
1978,1978-79,0490,BUENA VISTA R-31,Chaffee,district,1230.0,printed_total,,1211.0,1189.9,1142.3,yearbook-1986-table4
1978,1978-79,1860,BUFFALO RE-4(J),Logan,district,285.0,printed_total,,280.0,286.5,275.7,yearbook-1986-table4
1978,1978-79,1500,BURLINGTON RE-6J,Kit Carson,district,1047.0,printed_total,,1030.0,1010.2,969.8,yearbook-1986-table4
1978,1978-79,0190,BYERS 32J,Arapahoe,district,357.0,printed_total,,366.0,342.0,328.3,yearbook-1986-table4
1978,1978-79,0970,CALHAN RJ-1,El Paso,district,282.0,printed_total,,294.0,289.5,275.2,yearbook-1986-table4
1978,1978-79,0270,CAMPO RE-6,Baca,district,125.0,printed_total,,127.0,126.0,122.0,yearbook-1986-table4
1978,1978-79,1140,CANON CITY RE-1,Fremont,district,3526.0,printed_total,,3516.0,3428.7,3288.6,yearbook-1986-table4
1978,1978-79,0640,CENTENNIAL R-1,Costilla,district,576.0,printed_total,,568.0,580.8,571.1,yearbook-1986-table4
1978,1978-79,2810,CENTER 26 JT.,Saguache,district,615.0,printed_total,,575.0,590.2,566.6,yearbook-1986-table4
1978,1978-79,2560,CHERAW 31,Otero,district,193.0,printed_total,,195.0,186.5,182.0,yearbook-1986-table4
1978,1978-79,0130,CHERRY CREEK 5,Arapahoe,district,19031.0,printed_total,,19286.0,18543.3,17801.6,yearbook-1986-table4
1978,1978-79,0520,CHEYENNE COUNTY RE-5*,Cheyenne,district,296.0,printed_total,,298.0,270.3,260.1,yearbook-1986-table4
