year,district_code,district_name,county,countyfips,unit_type,teacher_fte,teacher_fte_basis,teacher_fte_published,teacher_fte_school_sum,schools,schools_basis,schools_published,schools_open,enrollment,enrollment_panel,enrollment_ccd,pop_5_17,pop_0_4,datatype
2024,2000,Mesa County Valley 51,Mesa,077,district,1260.9,published,1260.9,1199.8,46.0,school_panel,,46.0,19900.0,19900.0,19753.0,24488.0,7524.0,Estimate
1990,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,10.0,published,10.0,,2.0,school_panel,2.0,2.0,88.0,,88.0,74.0,49.0,Estimate
1991,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,11.0,published,11.0,,2.0,school_panel,2.0,2.0,92.0,,92.0,77.0,49.0,Estimate
1992,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,11.0,published,11.0,,2.0,school_panel,2.0,2.0,94.0,,94.0,82.0,47.0,Estimate
1993,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,11.1,published,11.1,,2.0,school_panel,2.0,2.0,103.0,,103.0,85.0,45.0,Estimate
1994,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,12.0,published,12.0,,2.0,school_panel,2.0,2.0,116.0,,116.0,95.0,46.0,Estimate
1995,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,14.5,published,14.5,,2.0,school_panel,2.0,2.0,129.0,,129.0,99.0,44.0,Estimate
1996,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,14.1,published,14.1,,2.0,school_panel,2.0,2.0,150.0,,150.0,110.0,44.0,Estimate
1997,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,15.3,published,15.3,,2.0,school_panel,2.0,2.0,147.0,,147.0,112.0,42.0,Estimate
1998,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,19.1,published,19.1,,2.0,school_panel,2.0,2.0,158.0,,158.0,120.0,41.0,Estimate
1999,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,,,,,2.0,school_panel,2.0,2.0,153.0,,153.0,128.0,37.0,Estimate
2000,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,18.1592,school_sum,,18.1592,2.0,school_panel,,2.0,,,163.0,133.0,37.0,Estimate
2001,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,17.4483,school_sum,,17.4483,2.0,school_panel,,2.0,80.0,80.0,155.0,135.0,32.0,Estimate
2002,2010,CREEDE CONSOLIDATED 1,Mineral,079,district,16.7965,school_sum,,16.7965,2.0,school_panel,,2.0,76.0,76.0,159.0,120.0,23.0,Estimate
