level,school_year,school,attending_neighborhood_school,oe_in_from_district,oe_in_from_outside,placements_into_school,unmatched_addresses,total_within_bvsd,total_enrollment,pct_from_neighborhood_area,year,from_areas,rebuilt,gap
elementary,2020-2021,Foothill,386.0,24.0,1.0,9.0,1.0,420.0,421.0,,2021,410.0,421.0,0.0
elementary,2020-2021,Flatirons,116.0,50.0,5.0,1.0,0.0,167.0,172.0,,2021,166.0,172.0,0.0
elementary,2020-2021,Eisenhower,265.0,46.0,13.0,12.0,0.0,323.0,336.0,,2021,311.0,336.0,0.0
elementary,2020-2021,Douglass,204.0,83.0,4.0,6.0,0.0,293.0,297.0,,2021,287.0,297.0,0.0
elementary,2020-2021,Crest View,394.0,39.0,5.0,7.0,0.0,440.0,445.0,,2021,433.0,445.0,0.0
elementary,2020-2021,Creekside *,247.0,39.0,3.0,8.0,2.0,296.0,299.0,,2021,286.0,299.0,0.0
elementary,2020-2021,Columbine,307.0,54.0,8.0,8.0,2.0,371.0,379.0,,2021,361.0,379.0,0.0
elementary,2020-2021,Bear Creek *,292.0,39.0,0.0,10.0,0.0,341.0,341.0,,2021,331.0,341.0,0.0
elementary,2021-2022,Peak to Peak,,377.0,74.0,1.0,1.0,379.0,453.0,,2022,377.0,453.0,0.0
elementary,2021-2022,Horizons,,221.0,6.0,5.0,0.0,226.0,232.0,,2022,221.0,232.0,0.0
elementary,2021-2022,Pioneer,,361.0,63.0,6.0,0.0,367.0,430.0,,2022,361.0,430.0,0.0
elementary,2021-2022,Uni-Hill Int.,,372.0,20.0,3.0,0.0,375.0,395.0,,2022,372.0,395.0,0.0
elementary,2021-2022,Comm. Montessori,,186.0,23.0,2.0,0.0,188.0,211.0,,2022,186.0,211.0,0.0
elementary,2021-2022,High Peaks,,240.0,16.0,2.0,1.0,243.0,259.0,,2022,240.0,259.0,0.0
elementary,2021-2022,Halcyon,,,0.0,1.0,0.0,1.0,1.0,,2022,0.0,1.0,0.0
elementary,2021-2022,Boulder Universal,,65.0,30.0,0.0,1.0,66.0,96.0,,2022,65.0,96.0,0.0
elementary,2021-2022,BCSIS,,273.0,9.0,3.0,1.0,277.0,286.0,,2022,273.0,286.0,0.0
elementary,2021-2022,Nederland Elem.,177.0,,3.0,0.0,2.0,179.0,182.0,,2022,177.0,182.0,0.0
elementary,2021-2022,Jamestown,11.0,9.0,0.0,0.0,0.0,20.0,20.0,,2022,20.0,20.0,0.0
elementary,2021-2022,Gold Hill,10.0,7.0,0.0,0.0,0.0,17.0,17.0,,2022,17.0,17.0,0.0
elementary,2021-2022,Superior,399.0,38.0,5.0,11.0,0.0,448.0,453.0,,2022,437.0,453.0,0.0
elementary,2021-2022,Eldorado K-8,240.0,25.0,29.0,1.0,0.0,266.0,295.0,,2022,265.0,295.0,0.0
elementary,2021-2022,Monarch K-8,183.0,67.0,24.0,15.0,0.0,265.0,289.0,,2022,250.0,289.0,0.0
elementary,2021-2022,Louisville Elem.,423.0,17.0,4.0,8.0,0.0,448.0,452.0,,2022,440.0,452.0,0.0
elementary,2021-2022,Fireside,310.0,81.0,11.0,11.0,1.0,403.0,414.0,,2022,391.0,414.0,0.0
elementary,2021-2022,Coal Creek,328.0,21.0,9.0,13.0,0.0,362.0,371.0,,2022,349.0,371.0,0.0
elementary,2021-2022,Meadowlark,424.0,8.0,16.0,1.0,1.0,434.0,450.0,,2022,432.0,450.0,0.0
elementary,2021-2022,Sanchez,262.0,17.0,4.0,6.0,1.0,286.0,290.0,,2022,279.0,290.0,0.0
elementary,2021-2022,Ryan,418.0,22.0,6.0,6.0,1.0,447.0,453.0,,2022,440.0,453.0,0.0
elementary,2021-2022,Lafayette Elem.,380.0,63.0,0.0,7.0,0.0,450.0,450.0,,2022,443.0,450.0,0.0
elementary,2021-2022,Kohl,206.0,35.0,45.0,4.0,0.0,245.0,290.0,,2022,241.0,290.0,0.0
elementary,2021-2022,Emerald,239.0,36.0,54.0,10.0,0.0,285.0,339.0,,2022,275.0,339.0,0.0
elementary,2021-2022,Birch,208.0,30.0,61.0,5.0,3.0,246.0,307.0,,2022,238.0,307.0,0.0
elementary,2021-2022,Aspen Creek K-8,233.0,68.0,56.0,7.0,0.0,308.0,364.0,,2022,301.0,364.0,0.0
elementary,2021-2022,Whittier,237.0,73.0,7.0,8.0,0.0,318.0,325.0,,2022,310.0,325.0,0.0
elementary,2021-2022,Mesa *,190.0,45.0,4.0,8.0,0.0,243.0,247.0,,2022,235.0,247.0,0.0
elementary,2021-2022,Heatherwood,207.0,11.0,12.0,5.0,0.0,223.0,235.0,,2022,218.0,235.0,0.0
elementary,2021-2022,Foothill,385.0,36.0,1.0,11.0,1.0,433.0,434.0,,2022,421.0,434.0,0.0
elementary,2021-2022,Flatirons,126.0,52.0,3.0,1.0,0.0,179.0,182.0,,2022,178.0,182.0,0.0
elementary,2021-2022,Eisenhower,270.0,57.0,9.0,15.0,2.0,344.0,353.0,,2022,327.0,353.0,0.0
elementary,2021-2022,Douglass,214.0,65.0,4.0,7.0,0.0,286.0,290.0,,2022,279.0,290.0,0.0
elementary,2021-2022,Crest View,398.0,36.0,7.0,6.0,0.0,440.0,447.0,,2022,434.0,447.0,0.0
