level,school,attendance_area,students
high,Broomfield,Broomfield,797.0
high,Broomfield,Centaurus,11.0
high,Broomfield,Monarch,8.0
high,Fairview,Boulder*,300.0
high,Fairview,Fairview*,1022.0
high,Fairview,Boulder/Fairview Optional,131.0
high,Fairview,Broomfield,16.0
high,Fairview,Centaurus,89.0
high,Fairview,Monarch,194.0
high,Fairview,Nederland,15.0
high,Boulder,Boulder*,1482.0
high,Boulder,Fairview*,92.0
high,Boulder,Boulder/Fairview Optional,65.0
high,Boulder,Broomfield,1.0
high,Boulder,Centaurus,41.0
high,Boulder,Monarch,21.0
high,Boulder,Nederland,29.0
